N° Enr.;ID_Potentialité;IDZoneIDCadre;Potentialités;Ressources;IDZone;IDCadre
255;823;1401030832;"Fonctionnement du système d’adduction Scan Water dans plusieurs villages
Nappe phréatique peu profonde
Couverture de la majeure partie de l’espace communal par le réseau électrique
Présence de puits, forages et bornes fontaines dans plusieurs villages
Présence de comités de gestion des points d’eau dans certains villages
Investissement de la CDC et de la SOCAPALM dans la construction de points d’eau dans les camps
Présence de fleuves et de nombreuses rivières
Couverture de la majeure partie de l’espace communal par le réseau électrique
Présence de deux forages fonctionnels dans les deux stations services de l’espace urbain";;140103;0832
257;825;1401030836;"Présence d’une carrière latéritique
Forte présence de gravier et de nsable
Existence d’une route communale
Existence de barrières de pluies
Existence d’une route départementale et 05 routes secondaires
Passage de la voie ferrée
Réseau routier existant et bien tracé
Passage de la route nationale N°5";;140103;0836
256;826;1401030742;Forte solidarité sociale (assistance spontanée des familles);;140103;0742
258;827;1401030243;"Présence de plusieurs associations de femmes
Forte population féminine.
Forte présence de femmes actives";;140103;0243
259;828;1401030426;"Ratio élevé de jeunes par rapport à la population totale
Présence d’une forte population jeune dans les villages
Existence de lycées et de collèges
Existence d’un CETIC
Organisation régulière de championnats de vacances";;140103;0426
260;829;1401030516;"Présence de nombreux stades de football et aires de jeux
Existence de lycées et collèges (pratique du sport comme discipline scolaire)
Existence d’espaces libres pour la création d’aires de jeu.
Existence d’équipes de football de jeunes.
Organisation régulière de championnats de vacances dans les villages et l’espace urbain.
Jeunesse de la population.";;140103;0516
261;830;1401030846;"Présence d’un réseau routier dense
Répartition de la population dans tout l’espace communal
Forte activité économique dans l’espace urbain et les villages
Aménagement de la gare routière
Proximité par rapport à la route nationale N° 5
Mototaxis
Existence de pistes agricoles créées par la CDC et la SOCAPALM
Présence d’une gare routière et deux (2) espaces réservées aux motos taxi au niveau de l’espace urbain";;140103;0846
262;831;1401030735;"Existence d’un CETIC
Présence d’une population jeune
Terres disponibles et exploitables
Existence de la CDC et de la SOCAPALM";;140103;0735
263;832;1401030939;"Abondance de matériaux locaux propices à l’artisanat (bambou, rotin, raphia)
Diversité de la production agricole (possibilités accrues de transformation)
Présence de l’hévéa et du palmier (possibilités de cueillette du vin)
Présence de la forêt
Pérennisation de systèmes de transformation des produits agricoles (manioc, pistache, noix de palme)
Expansion du brassage de l’huile de palme
Présence de la CDC et de la SOCAPALM
Présences d’une diversité d’activités économiques dans les zones urbanisées (Souza, Kompina Village, Penda Mboko Village)";;140103;0939
264;833;1401030419;"Présence d’une forêt
Présence d’une diversité de plantes potentiellement
Présence de la CDC et de la SOCAPALM médicinales
Présence d’un centre de recherche agricole
Expansion des techniques de brassage artisanal de l’huile de palme";;140103;0419
265;834;1401030523;"Présence de fleuves (plages potentiellement exploitables)
Longue histoire des villages (présence de constructions de la période allemande)
Présence d’une forêt et de forêts/sites sacrés
Présence d’une chute d’eau (Ndoulou Bandjiou)
Proximité de la Commune par rapport à la route nationale N°5";;140103;0523
266;835;1401030514;"Existence de sites sacrés
Pratique de plusieurs danses traditionnelles (Bolobo, Essewe, Ambass bay)
Tenues traditionnelles attrayantes
Présence d’un maire artiste musicien
Présence de patriarches
Présence de musiciens traditionnels
Existence d’un cri de ralliement
Organisation de congrès dans les villages pendant les vacances
Cosmopolitisme de l’arrondissement
Présence de foyers communautaires
Existence de groupes de danse traditionnelle et d’associations culturelles
Existence de nombreuses élites exerçant dans la musique et la chanson";;140103;0514
267;836;1401030829;"Abondance du sable
Présence potentielle du pétrole et de gaz
Présence de fleuves et rivières
Présence de la CDC et de la SOCAPALM
Proximité par rapport à Douala (Zone industrielle de Bonabéri)";;140103;0829
268;837;1401030921;"Abondance de produits agricoles et halieutiques
Abondance de ressources naturelles (bois, sable)
Existence d’un réseau routier
Proximité de la Commune par rapport à la route nationale N° 5
Présence d’espace permettant de créer un marché
Présence de marchés hebdomadaires à Souza, Kompina Village, Penda Mboko Village et Penda Mboko Carrefour
Proximité de la capitale économique (Douala)";;140103;0921
269;838;1401030545;"Présence d’une antenne relais ORANGE (Bonaléa)
Présence d’un bureau Campost
Proximité par rapport à Douala";;140103;0545
270;839;1401030741;"Présence des ouvriers agricoles de la CDC et de la SOCAPALM
Affiliation du personnel communal à la CNPS
Présence de nombreux fonctionnaires";;140103;0741
271;840;1401030517;"Localisation à proximité de Douala
Couverture d’une majeure partie de l’espace communal par l’énergie électrique
Présence de deux (2) câblo distributeurs";;140103;0517
272;841;1401110930;"Climat favorable à la pratique des activités agricoles ;
Pluviométrie importante ;
Existence de vastes terres cultivables ;
Présence des zones de production agricole tant en périphérie urbaine qu’en milieu rural ;
Existence d’un potentiel humain pouvant servir de main d’oeuvre pour les activités agricoles ;
Existence des services d’encadrement des agriculteurs ;
Existence des projets et programmes de développement qui accompagnent les producteurs et leur accordent des subventions ;
Forte production de manioc, cacao à Bakwat et Mangamba ;
Existence de grandes plantations de palmiers à huile, cafés, cacaoyères, bananiers plantains …";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.)
Existence des comités de développement actifs
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Population importante et jeune
Sols fertiles et disponibles";140111;0930
273;842;1401110931;"Climat favorable à la pratique des activités pastorales,
Existence des bas-fonds favorables à la pratique de la pisciculture,
Existence des projets et programmes de développement qui accompagnent les éleveurs et leur accordent des subventions,
Existence d’association et GIC";"Existence de structures d’encadrements agro pastorales (DAADER, PA)
Hydrographie importante les principaux cours d’eau sont le Mloh, MBoo, Mahon gué et Satié, Crocodio, Birann, Mekalackmengondô. Mloh, MBoo Crodio.
Produits halieutiques (poissons, crocodiles, crabes)
Population importante et jeune
";140111;0931
274;843;1401110640;"Existence de formations sanitaires publiques et privées
Infrastructures disponibles dans certaines zones
Sites et Matériaux de construction disponible
Existence des Phyto thérapeutes et tradi-practicien
Proximité des pharmacies privées et de l’Hôpital Régional de Nkongsamba";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0640
275;844;1401110836;"Existence de plus de 155.5 km de réseau routier non bitumé et 20km des routes bitumées ;
Existence des ouvrages de franchissement qui facilitent les traversées ;
Existence des projets d’entretien ;
Existence de carrières de pierre et de sable ;
Populations dynamique ;
Présence d’une Elite interne et externe
Terre latéritique disponible
Passage de la route nationale N°5 (20Km)
Existence des pistes de collecte et de ponts en matériaux provisoires
Existence de routes en terre
Existence d’un axe bitumée allant de la Nationale N°5-à Ndoungué Mbang
Existence des Comités de Développement actifs";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0836
276;845;1401110415;"Disponibilité des terres pour la construction d’école
Existence d’écoles primaires : 16 écoles publiques et 06 écoles privées
Existence d’écoles maternelles : 06 écoles publiques et 01 école privée";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique

";140111;0415
277;846;1401110514;"Existence d’un patrimoine culturel diversifié dans l’espace communal d’Ebone : Les communautés Bakaka, Bamiléké, Banen, Bamenda, Béti, Mbo
Existence de deux Cantons dans l’espace communal (Bakaka et Balondo)
Existence de 21 chefferies de 3ème dégrées";"Population importante et jeune
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique
Bois d’œuvre disponible";140111;0514
278;847;1401110243;"Potentiel élevé des femmes et des jeunes filles dans la commune,
Présence de plus de 25 associations féminines dans la commune";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0243
279;848;1401110742;"Existence d’un centre social de l’EEC d’encadrement et d’accompagnement des personnes vulnérables à Ntolo ;
Existence d’Association de solidarité et d’entraide.";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0742
280;849;1401110832;"Existence du réseau AES/SONEL.
Existence de quelques villages électrifiés par des groupes électrogènes
Existence des Comités de Développement actifs
Possibilité de construction des micro-centrales hydroélectriques";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0832
281;850;1401110832;"Réseaux d’adduction d’eau de captage fonctionnel
Proximité avec les monts Manengouba et Nlonako
Existence d’une nappe d’eau phéatique
Existence de plusieurs points d’eau dans les villages : Sources, Forages, Bornes fontaines
Présence de nombreux cours d’eau et rivière";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0832
282;851;1401110425;"Site disponible pour l’extension et la construction de nouveaux établissements existence :
02 lycées enseignement général
01 lycée d’enseignement technique
01 CES d’enseignement bilingue
02 CES d’enseignements général
01 collège privé d’enseignement technique";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0425
283;852;1401110735;"Présence de 03 structures de formation professionnelle dans la commune,
Existence des ressources naturelles qui peuvent servir de source de création d’emploi
Présence d’atelier de petit métier dans certains villages";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0735
284;853;1401110741;"Existence d’un fort potentiel de travailleur dans le secteur informel
Affiliation à la CNPS des personnels communaux.";"Partenaires disponibles (FEICOM, Fond Routier, PNDP ; PPTE, BIP, Parlementaires, etc.) ;
Existence des comités de développement actifs ;
Relations avec le FEICOM, ONG, Union Européenne ;
Existence de structures d’encadrements agro pastorales (DAADER, PA) ;
Présence des Elites et de la diaspora ;
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Etatique";140111;0741
285;854;1401110523;"Présence des sites touristiques :
Chutes : Chute Poumé (15m), Chute Dip Ewaméboh (30m), Chute Ebomdeko (20m), Chute Epone ; Edibahok ; Etoron
Monts Nlonako, Monts Manengouba.
Existence d’un patrimoine touristique
Existence des auberges,
Existence de plusieurs danses traditionnelles
Proximité de la Nat.N° 5
Présence d’une réserve pour écotourisme
Proximité d’une grande agglomération : Nkongsamba, Manjo.";"Les chutes : Chute Poumé (15m), Chute Dip Ewaméboh (30m), Chute Ebomdeko (20m), Chute Epone ; Chute Edibahok ; Chute Etoron
Civisme des contribuables
Possibilités de subvention Étatique";140111;0523
286;855;1401110033;"Climat favorable au développement de l’agroforesterie,
Existence d’un potentiel forestier dans la commune,
Existence d’un service public chargé de règlementer l’exploitation forestière et faunique
Possibilités de commercialisation du carbone
Existence de foret communautaire dans certain village
Existence d’espèces Forestières rares tel que : Sape li ; Babinga ; Iroko ; Atchoum …
Existence d’espèces faunique tel que : Buffle ; antilope ; Chimpanzé";"Existence des comités de développement actifs
Richesse faunique : Biches, pangolins, singes, hérrissons, chimpanzé, buffle, pangolin géant 
La foret et les Plantes médicinales : La reserve bakaka
civisme des contribuables
Possibilités de subvention Étatique";140111;0033
287;856;1401110028;"Existence d’un comité d’hygiène et de salubrité dans certains villages
Climat et sol favorables à la pratique de la sylviculture
Existence de foret communautaire dans certains villages
Existence d’un service public chargé du suivi des activités liées à l’hygiène et salubrité à la commune,";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0028
288;857;1401110838;"Existence des zones d’occupation des domaines fonciers par les bâtiments administratifs, les logements sociaux, les boutiques, des ateliers les bars etc.
Existence des matières premières de construction
Existence d’une voirie municipale dense.
Construction des habitats en matériaux définitifs dans le centre ville
Proximité avec 02 grandes agglomérations Nkongsamba, Manjo.";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0838
289;858;1401110837;"Fort potentiel Domanial et Foncier (28926 ha)
Proximité avec deux grandes agglomérations
Existence des zones appartenant aux domaines nationales ;
Proximité avec le chef lieu de département ;
Proximité avec les structures d’encadrement :
Préfecture ;
Sous préfecture ;
DDDAF du Moungo ;
Possession de grands espaces forestiers non exploités ;
Exécutif communal";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0837
290;859;1401110419;"Présence d’une antenne de la station de recherche de l’IRAD à NKONSAMBA
Condition naturelle favorable à la réalisation des expérimentations
Existence d’une gamme variée de plante médicinale
Condition naturel favorable à la réalisation d’expérimentation.";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0419
291;860;1401110921;"Présence de 06 marchés,
Existence d’un réseau des détaillants de toutes sortes de produits de consommation,
Fort potentiel des consommateurs dans la commune,
Traversée de la commune par la route nationale N° 05";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0921
292;861;1401110426;"Potentiel des jeunes très élevés dans la commune
Existence de diverses organisations / associations des jeunes,
Existence d’un conseil communal des jeunes
Existence des services d’encadrement des jeunes,
Existence des projets et programmes de financement des micro-projets des jeunes (au MINADER, MINEPIA, MINEFOP, MINJEUN etc…)";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0426
293;862;1401110516;"Fort potentiel des personnes pratiquant le sport et l’éducation Physique
Présence de quelques infrastructures de sport et d’éducation physique,
Présence des services d’encadrements
Existence d’association sportive dans les villages : Ndombeng";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0516
294;863;1401110939;"Existence d’un potentiel des jeunes opérateurs économiques
Diversification des sources d’activités économiques
Existence de GIC
Existence d’artisans";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0939
295;864;1401110829;"Existence des sites des ressources naturelles exploitables (carrières de pierres, de sable, d’argile, et de Latérite),
Existence de l’espace pour la création d’une zone industrielle
Existence de fleuves et rivière";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0829
296;865;1401110846;"Présence des moyens diversifiés de transport (car, autobus, taxi, moto taxi),
Proximité avec la nationale n°05.";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0846
297;866;1401110545;"Présence d’un réseau de téléphonie mobile avec 03 opérateurs
Proximité de 02 grandes agglomérations";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0545
298;867;1401110517;Présence des signaux des réseaux TV et Radio FM;"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0517
299;868;1401110307;"Présence dans la commune de plusieurs structures des services Déconcentrés de l’Etat (SDE) qui peuvent être sollicités pour un appui technique à la réalisation des projets de développement.
Présence des services de sécurité chargés de maintien de l’ordre dans la commune,
Existence des divisions administratives de l’espace géographique communal en villages et quartiers avec à la tête de chaque division une autorité traditionnelle auxiliaire de l’administration publique.
Existence des comités de vigilance dans certains villages : Ndombeng,";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0307
300;869;1401110418;"Présence dans le chef lieu de département du Moungo d’un Institut universitaire (Institut des Beaux Arts de Nkongsamba)
Présence d’une Faculté de théologie à Ndoungue";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0418
301;870;1401110000;"Présence de cadre du CEFAM ;
Existence d’un organigramme
Existence d’un fichier de contribuables ;
Exécutif municipal dynamique et ouvert au changement positif ;
Présence des opérateurs économiques ;
Existence d’un babillard ;
Existence d’une commission de passation de marché ;
Existence des ressources exploitables (Foret, marchés, carrières)
Position de la commune par rapport à la nationale N° 5";"Existence des comités de développement actifs
Relations avec le FEICOM, ONG, Union Européenne
Présence des Elites et de la diaspora
Population importante et jeune
Existence de potentiels bailleurs de fonds (FEICOM, BIP, Elites, APEE, Comité de Développement, Commune)
Transfert des compétences et dotation de la décentralisation
Civisme des contribuables
Possibilités de subvention Étatique";140111;0000
302;871;1401040930;"Fertilité du sol (propice à la pratique de plusieurs cultures)
Proximité de la Commune par rapport à Douala
";"Présence de plusieurs cours d’eau
Présence de l’industrie agricole PHP-SBM";140104;0930
303;872;1401040931;"Environnement favorable à l’élevage des espèces non conventionnelles (aulacodes, grenouilles goliath, escargot etc.. et des espèces conventionnelles)
Disponibilité des espaces pour la pratique de l’élevage
";Présence d’un centre d’alevinage et des rivières ;140104;0931
304;873;1401040837;Disponibilité des terres;Présence d’un grand patrimoine foncier;140104;0837
305;874;1401040838;"Espaces de construction disponibles
Existence d’un contrat de ville avec le MINDUH";"Abondance de sable et de bois (réduction des coûts de construction)
Présence de la PHP (contribution à l’urbanisation des Champs)
";140104;0838
306;875;1401040028;Organisation régulière de journées de propreté par la Commune;Existence d’un service communal d’hygiène et salubrité avec 03 tracteurs de ramassage d’ordures ménagers;140104;0028
307;876;1401040033;"Foret riche en espèce faunique (Reptiles (Varans, Serpents), Petits rongeurs (rats des champs, rats palmistes, écureuils, hérissons, porc- épics), phacochère, pangolins, singes, biches, antilopes, lièvres, Grenouilles goliath, etc.)
Diversité des espèces végétales (produits ligneux et non ligneux)";"Forte présence d’espaces forestiers riches
Existence d’une réserve forestière (Loum)
Présence d’un poste forestier";140104;0033
308;877;1401040307;Bon fonctionnement des chefferies;"Existence d’un poste de gendarmerie à Loum
Existence de comités de vigilance et groupes d’auto défense dans quelques villages
Présence de 02 commissariats de police et d’une gendarmerie dans la zone urbaine";140104;0307
309;878;1401040415;Espace disponible pour les constructions;"Existence de 36 écoles primaires et 21 écoles maternelles
202 salles de classe, 3072 tables bancs, 23 latrines, 10 points d’eau
51 enseignants maternels 
171 enseignants primaires ";140104;0415
310;879;1401040425;Disponibilité des terres pour la construction des lycées et collèges  ;"Existence de 10 établissements (01 lycée ens.gle, 01 lycée bilingue, 01 lycée technique, 03 CES, 04 collèges privés), 
142 salles de classe, 2359 tables banc, 10 latrines, 10 points d’eau, 
217 enseignants fonctionnaires, vacataires et contractuels";140104;0425
311;880;1401040418;Proximité par rapport à Douala;Présence de 04 établissements d’enseignement secondaire 2sd cycle;140104;0418
312;881;1401040640;Espace disponible pour les constructions et l’extension;"Existence et fonctionnement de 01 hôpital de district et de 06 centres de santé intégrés 
Présence des plantes médicinales";140104;0640
313;882;1401040832;"Nappe phréatique peu profonde
Fonctionnement du système d’adduction CDE dans l’espace urbain avec 30 bornes fontaines publiques 
";"Présence de sources, puits et forages dans certains villages
Présence de comités de gestion des points d’eau
Existence d’une convention de financement de la BAD pour l’approvisionnement en eau potable de 500 millions FCFA
Présence de rivières et de nombreux ruisseaux";140104;0832
314;883;1401040832;Couverture de l’espace urbain par le réseau électrique;Existence de personnes favorables et disponibles pour l’énergie solaire;140104;0832
315;884;1401040836;"Passage de la voie ferrée 
Réseau routier existant et bien tracé
Passage de la route nationale N°5
";"Présence d’une carrière de pouzzolane, de plusieurs carrières de pierres et de plusieurs carrières de sable
Existence d’une route communale
Existence d’une route départementale et 05 routes secondaires
";140104;0836
316;885;1401040742;Forte solidarité sociale (assistance spontanée des familles);Existence d’un service social dans l’arrondissement;140104;0742
317;886;1401040243;"Forte population féminine.
Forte présence de femmes actives";Présence de plusieurs associations de femmes;140104;0243
318;887;1401040426;"Ratio élevé de jeunes par rapport à la population totale
Organisation régulière de championnats de vacances";"Présence d’une forte population jeune dans les villages
Existence de lycées et de collèges
Existence d’un centre de jeunesse et d’animation et d’un service d’encadrement ";140104;0426
319;888;1401040516;"Organisation régulière de championnats de vacances dans les villages et  l’espace urbain
";"Présence de nombreux stades de football et aires de jeux
Existence de lycées et collèges (pratique du sport comme discipline scolaire)
Existence d’espaces libres pour la création d’aires de jeu
Existence d’équipes de football de jeunes";140104;0516
320;889;1401040846;"Répartition de la population dans tout l’espace communal
Forte activité économique dans l’espace urbain 
Proximité par rapport à la route nationale N° 5
Moto taxis
Gare routière moderne avec 24 boutiques en construction ";Présence d’un réseau routier dense en zone urbaine;140104;0846
321;890;1401040735;Terres disponibles et exploitables;"Existence de 02 SAR/SM
Présence d’une population jeune
Présence d’une industrie agro-alimentaire";140104;0735
322;891;1401040939;"Abondance de matériaux locaux propices à l’artisanat (bambou, rotin, raphia)
Diversité de la production agricole (possibilités accrues de transformation)
Environnement favorable à la création des petites unités de transformation des produits agricoles (manioc, pistache, noix de palme etc.…) 
Expansion du brassage d’huile de palme";"Présence de la PHP/SBM
Présence d’une diversité d’activités économiques dans les zones urbaines 
Présence de la forêt";140104;0939
323;892;1401040419;"Présence d’une forêt riche et existence certaine d’une diversité de plantes potentiellement médicinales
Présence de la PHP/SBM ";"Présence d’une forêt riche et existence certaine d’une diversité de plantes potentiellement médicinales
Présence de la PHP/SBM ";140104;0419
324;893;1401040523;Proximité de la Commune par rapport à la route nationale N°5;"Présence de 04 Hôtels, 07 auberges et plusieurs petits restaurants
Présence de plusieurs sites potentiellement touristiques : forêts sacrés à Badjoki, d’une chute d’eau (Bonalébé), de grotte à Bona Ollo et Bonalébé";140104;0523
325;894;1401040514;"Pratique de plusieurs danses traditionnelles (Bolobo, Essewe, Ambass bay)
Tenues traditionnelles attrayantes
Organisation de congrès dans les villages pendant les vacances
Cosmopolitisme de l’arrondissement";"Existence de groupes de danse traditionnelle et d’associations culturelles 
Existence de nombreuses élites exerçant dans la musique et la chanson
Présence de patriarches
Présence de musiciens traditionnels
Existence d’un cri de ralliement
Existence de sites sacrés
Présence de foyers communautaires";140104;0514
