Enr;UnitePaysage;ID_PUGE;IDZone;Utilisation;Potentialite;Utilisateur;Probleme;Causes;Consequences;Solutions
550;Zones agricoles   ;642;140101;;"Disponibilite des terres.; Sols argilo-limoneux et sablo-argileux de couleur noire et rougeetre favorables e la pratiques de plusieurs cultures (agrumes, cacaoyer, cafeier, palmier ehuile, tubercules, maes et les legumineuses); Climat  favorable";"Agriculture; Elevage ; Populations riveraines";"Sol de moins en moins fertile; Mauvaises associations culturales";Acquisition  par heritage et par achat et contrele par les proprietaires;"Erosion; Surexploitation";"Sensibilisation des producteurs sur la pratique de la fertilisation minerale et organique; Sensibilisation des producteurs sur les techniques culturales anti erosives"
551;Zones d'habitation;643;140101;;;Habitation et ceremonies;"eloignement des centres deapprovisionnement en materiaux de construction durable; Coet eleve de transport; Absence de vehicule ; Absence deun plan deoccupation des sols; Disparition de certaines danses et pratiques";Acquisition  par heritage et par achat et contrele par les proprietaires;;
552;Bas-fond;644;140101;;"Cours deeau et sources; Zones favorables e  la pisciculture et e l'agriculture de contre saison";"Pecheurs; Agriculture; Pisciculture; Abattoir;  Populations riveraines";"Faible exploitation des zones marecageuses; Difficulte deexploitation des sources en eau potable ; utilisation des pesticides polluant les cours deeau par les pecheurs";Acquisition  par heritage et par achat et contrele par les proprietaires;"erosion progressive des rives des cours deeau; Inondation des plantations en saison de pluie";"Elaborer un projet de gestion des marecages pour leagriculture et la pisciculture; Amenager les sources deeau potableSensibiliser les pecheurs sur les dangers lies e pollution des coursdeeau"
553;Foret;645;140101;;"Vaste etendue de foret; Presence deespeces ligneuses et non ligneuses et plusieurs especes fauniques";"Coupe anarchique du bois; Pratique non contrelee de la chasse et de leagriculture";Braconnage,;"Chefferie et populations riveraines; Poste forestier";"Disparition de certaines especes ligneuses(Bibinga, Macore, Doussier, etc...); Disparition de certaines especes fauniques (gorille, chimpanze, elephant, Boa";Reglementer les exploitations
512;Foret;603;140102;"Pour les constructions 
bois de chauffage -menuiserie";110 Km2, soit 73% de leespace commun al;"Proprietaires
Familles
Riverains
Chefs traditionnels ";"Exploitation illicite et anarchique des essences et des especes  
Deboisement ; 
Disparition de la faune  
Feux de brousse 
Non immatriculation des forets ";Acces libre;"Utilisation e la baisse
Exploitation anarchique";"Operationnalite de postes forestiers 
Contrele de la coupe de bois 
Reboisement 
Immatriculation des forets "
513;Faune;604;140102;"Bois de chauffage 
Menuiserie ";110 Km2, soit 73% de leespace commun al ;"Proprietaires
Familles
Riverains";"Exploitation illicite et anarchique des essences et des especes 
Deboisement ; 
Disparition de la faune  
Feux de brousse 
Non immatriculation des forets";acces libre ;"Utilisation e la baisse
Exploitation anarchique";" Exploitation illicite et anarchique des essences et des especes  
Deboisement ; 
Disparition de la faune  
Feux de brousse 
Non immatriculation des forets "
514;Cours deeaux/sources;605;140102;Riverains;05;"Autochtones Riverains 
Non contrele (libre)";Insuffisance des moyens deacces;Non contrele (libre);Grandes etendues;Creation des voies deacces 
515;Cours d'eau / Rivieres ;606;140102;Riverains/ Peche, taches domestiques ;04;"Autochtones Riverains 
";"insuffisance des voies et moyens deacces  
Peche artisanale  -Diminution des especes halieutiques  
Pollution industrielle 
Envahissement par la jacinthe  
Cours .";Non contrele (libre);Grandes etendues;"Creation des voies deacces 
Acquisition des embarcations "
516;Cours deeau;607;140102;"Riverains 
Allogenes Autochtones pour Peche, teches domestiques ";04 ;"Autochtones Riverains 
";"Insuffisance des moyens deacces  
Peche artisanale  
Diminution des especes halieutiques  
Pollution industrielle 
Presence de jacinthe 
Utilisation du GAMARIC ";Non contrele (libre) ;Grandes etendues;"Creation des voies deacces 
Operationnalite des moyens et techniques de peche moderne 
Reglementation de  leexploitation des fleuves "
517;Lac;608;140102;;04;Population pour peche ;Retrecissement de e la jacinthe ;Acces libre ;A la baisse;Draguer et entretenir le lac
518;Sources d'eau naturelle;609;140102;Population pour cultures;02 ha ;"Population pour cultures
Pas de contrele 
";Enclavement;Acces libre ;A la baisse ;"Amenager les marigots 
"
519;Ressource en eau;610;140102;;04;"Populations residentes pour consommation et teches menageres 
Chef des Villages concernes 
";"Source deeau naturelle situee dans une zone e risque (glissement de terrain) 
Debit inconstant 
Erosion intense";"Acces libre pour la population, 
Acces contrele pour les etrangers ";"Debit faible en saison pluvieuse et forte en saison seche
Exploite";"Rehabilitation de la station de captage des eaux 
Amenagement de  la source naturelle"
520;Marecage;611;140102;;300 ha ;"Population residentes pour   Cultures maraicheres 
Chefferies
";Acces difficile ;Acces libre ;Mise en valeur e la hausse;Amenagement des voies deacces
521;Bas-fond;612;140102;;02 ha ;;;Acces libre ;Non valorisation;Mise en valeur des bas fonds 
522;Rafia;613;140102; Vignes ;10 ha ;Allogenes;;Acces libre ;Exploitation artisanale;Exploitation du raphia 
523;Bambou de chine;614;140102;;10 ha ;;;Acces libre ;;Exploitation pour artisanat 
524;Zone d'habitation (Rurale, Urbain, ...);616;140102;Unites industrielles -habitations  -infrastructures socio-economiques -cultures vivrieres -exploitation des carrieres ;16 km2;;;;Expansion previsible des unites industrielles;Unites industrielles -habitations  -infrastructures socio-economiques -exploitation des carrieres 
525;Zone d'habitation (Rurale, Urbain, ...);617;140102;habitations -cultures vivrieres, maraechage perennes-infrastructures socio-economiques-exploitation artisanale de sable-un espace vert -exploitation forestiere;36 km2;;;;Reduction previsible des activites agricoles en fonction de leevolution de leurbanisation.;habitations -forets-espaces verts-cultures vivrieres et maraecheres-infrastructures socio-economiques-exploitation de carrieres-PME 
526;Bas fond marecageux;618;140102;Inexploite;302;;;;Propices aux cultures maraecheres.;Valorisation
527;Bambou de chine;619;140102;Inexploite ;10 ha;;;;Se prete e leartisanat;Valorisation 
528;Sites touristiques;620;140102;Non valorises;09 sites;;;;Pourrait constituer une activite e valeur ajoutee significative.;Mise en valeur des sites touristiques naturels
529;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;621;140102;Exploitation  illicite;55  ha;;;;ecosysteme en  disparition ;Exploitation  legale
502;Zones d'habitation;615;140102;"Culture industrielle (SOCAPALM)
Habitations 
Infrastructures socio-economiques-cultures vivrieres";20 km2;;;;Zone sous contrat de bail attribue par Decret;"Culture industrielle (SOCAPALM)
Habitations -infrastructures socio
Economiques-cultures vivrieres"
509;Sol;600;140102; leindustrie, le petit commerce et les maisons dehabitation .;75% de leespace commun al soit 112.5 km2 ;"Populations allogenes, autochtones et entreprises pour leagriculture,
Chefs traditionnels 
proprietaires 
familles 
riverains 
SOCAPALM 
parfois absence de contreleurs 
";"Techniques agricoles  rudimentaires 
Forte teneur du sol en eau  
Deforestation  
Difficulte deacces 
pratique de leecobuage";Acces libre et contrele selon le cas;Utilisation taux deutilisation;"Renforcement des capacites techniques et financieres des agriculteurs  
Creation des GIC  -amenagement des voies deacces"
510;Carriere de sable;601;140102; pour travaux des BTP ;30% du perimetre communa;Populations autochtones et riverains;Mauvais etat des voies deacces -Extraction artisanale;;Faible exploitation;"Amenagement des voies deacces  
Modernisation de leexploitation 
Organisation de leexploitation "
511;Carriere Laterie;602;140102;Commune de Dibombari pour travaux routiers;2% du perimetre communal;"Chef de villages
";Erosion ;Acces contrele;En cours deexploitation;"Creation des comites de gestion 
Reglementation de leexploitation"
530;Espaces cultivables;622;140103;;"Tres fertiles (sol propice e de nombreuses cultures)
Encore exploitees de faeon intensive";"Ouvriers CDC (Kompina Camp 2, Penda Mboko Village, Penda Mboko Camp 1, II, III, IV, V)
Ouvriers SOCAPALM (Mbonjo I, Bonaberi Souza), espace urbain (Souza gare)
Ouvriers allogenes mobiles
Paysans residents/elites exterieures, grands proprietaires des palmeraies, chefs de famille, elites exterieures, chefs de village, notables, chefs de quartier";"Devastation des cultures par les betes et les parasites
Manque de materiels et deintrants agricoles
Litiges fonciers
Absence deun plan deurbanisation et de gestion des terres";"Acces entierement contrele par la CDC
Acces entierement contrele par la SOCAPALM
Acquisition par heritage, achat, location
Acces libre
Acquisition par heritage, achat, location";"Legere diminution des terres cultivables
Reduction de la fertilite (erosion progressive du sol)
Perte progressive du couvert vegetal
Appauvrissement du sol
Appauvrissement du sol";"Organisation des agriculteurs en GIC
Appui des GIC e Acquisition du materiel et des intrants agricoles
Delimitation des espaces agropastoraux
Immatriculation des terres
elaboration deun plan de gestion des terres"
531;Cours deeau;623;140103;;"Reserves deeau
Riches en especes halieutiques
Navigable et riche en especes halieutiques
Riche en sable
Attrait touristique
Potentiellement riches en sable";"Tous les habitants du village
Pecheurs
Transporteurs et commereants";"Pollution des eaux
Envahissement par la jacinthe deeau
Conflits entre pecheurs
Inondations
Acces enclave";"Acces libre
Aucun contreleur";"RAS
Reduction du debit et de la superficie
Montee des eaux en saison des pluies
Delabrement du site";"Vulgarisation des techniques de traitement de leeau e domicile
Sensibilisation des habitants e une gestion durable des cours deeau
Amenagement des bordures du fleuve et destruction de la jacinthe deeau
Reglementation de la peche
Amenagement du site"
532;Sable;624;140103;;Disponible au sein des cours deeau;Aucun contreleur / Acces libre;Manque de materiel deextraction adequat;Acces libre;Utilisation leche et non coordonnee;Creation dune carriere de sable
533;Carriere de sable;625;140103;;Fort potentiel;Personne / Aucun contreleur;Acces difficile e la carriere;Acces libre;Carriere non exploitee;Ouvrir leacces e la carriere
534;Carriere de pierre;626;140103;;Disponible e travers la riviere Bong;Proprietaires terriens / Acces contrele;Insuffisance de moyens pour estimer et exploiter la ressource;Acces contrele;Potentiel non exploite;Prospecter la presence reelle et le potentiel de la ressource
535;Foret;627;140103;;Disponible au sein de la foret;"Proprietaires terriens (bois de chauffe)
Exploitants (exploitation intensive) / Proprietaires terriens, Chef du village";Exploitation anarchique;Negociation avec les proprietaires et les chefs;"Degradation de la foret
Perte progressive du couvert vegetal";"Contreler la coupe des arbres
Vulgariser les techniques de reboisement
Creer des forets communautaires"
536;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;628;140103;;Disponible au sein de la foret;Artisans vanniers / Aucun contreleur;En voie de disparition;Acces libre;Exploitation anarchique des especes;
537;Bas-fond-Rafia;629;140103;;Disponibles au sein de la foret;"Tous les habitants des villages
Bayam sellam / Proprietaires des plantations, grands proprietaires terriens";Exploitation anarchique des especes;"Acces libre
Gestion contrelee";Especes en voie de disparition;"Domestiquer les differentes especes
Creer la foret communautaire"
538;Laterite;630;140103;;Potentiel non estime;Acces non reglemente / Chefferie;Insuffisance de moyens pour estimer et exploiter la ressource;Acces non reglemente;Carriere non exploitee;Prospecter la presence reelle et le potentiel de la ressource
539;Ressources minieres;631;140103;;Potentiel non estime;Acces non reglemente / Non contrele;Potentiel non exploite;Acces non reglemente;Insuffisance de moyens pour estimer et exploiter la ressource;Prospecter la presence reelle et le potentiel de la ressource
540;Zones minieres ;632;140103;;Potentiel non estime;Acces non reglemente / Non contrele;Potentiel non exploite;Acces non reglemente;Insuffisance de moyens pour estimer et exploiter la ressource;Prospecter la presence reelle et le potentiel de la ressource
541;Ressources minieres;633;140103;;Potentiel non estime;Acces non reglemente / Non contrele;Potentiel non exploite;Acces non reglemente;Insuffisance de moyens pour estimer et exploiter la ressource;Prospecter la presence reelle et le potentiel de la ressource
554;Zone d'habitation (Rurale, Urbain, ...);646;140104;"Construction des immeubles et infrastructures Jardins(urbaine)
Construction des maisons dehabitation(Tous les villages)";"circulation facile, concentration des populations, acces aux services( urbaine)
circulation facile, acces faciles(Tous les villages)";"Habitants Proprietaire
";"Difficulte e gerer leespace ( urbaine)
Difficulte deacces aux services de base(Tous les villages)";"Espace reduits, non existence du plan sommaire deurbanisation, gestion inadequat de leenvironnement(urbain)
eloignement des services de base Relief tres accidente( tous les villages)
";;"Viabiliser les lotissements dans la peripherie urbaine.
Realiser, vulgariser et mettre en application le Plan Sommaire deurbanisation de la commune
Rapprocher les services de base des zones dehabitation( tous les villages)"
555;Espaces cultivables;647;140104;"Culture traditionnelle Cereales, tubercules, legumes arbres fruitiers( tous les villages)
Culture industrielle (urbaine)";"Tres fertiles (sol propice e de nombreuses cultures) presence de cendre volcanique
Encore inexploitees de faeon intensive";"Paysans residents allogenes mobiles
Elites exterieures Grands proprietaires Chefs famille Elites ext Chefs village Notables Chefs quartier ( tous les villages )
Ouvriers PHP/SBM(urbain)";Difficulte e rentabiliser les espaces cultivables;"Devastation des cultures par les betes et les parasites
Manque de materiels et deintrants agricoles
Litiges fonciers 
Absence deun PUGDT
Legere diminution des terres cultivables
Reduction de la fertilite (erosion progressive du sol)Perte progressive du couvert vegetal
Acces difficiles
Appauvrissement du sol
";;"Organisation des agriculteurs en GIC
Appui des GIC e Appui e 
leacquisition du materiel et des intrants agricoles
Delimitation des espaces agro pastoraux
Immatriculation des terres 
Elaboration PUGDT"
556;Cours deeau;648;140104;"Peche 
Lessive 
Menage
Depotoir 
Irrigation des culture";"Reserves deeau
Riches en especes halieutiques
Riche en sable
Attrait touristique";"Chef village
Notables
Habitants 
acces libre et Aucun contreleur";Difficulte pour les populations e bien gerer la ressource en eau disponible e certains endroits dans leur environnement;"Pollution des eaux
Acces enclave
Reduction du debit et de la superficie
Montee des eaux en saison des pluies
";;"Vulgarisation des techniques de traitement de leeau (potable) et deirrigation culturale
Sensibilisation des habitants e une gestion durable des cours deeau
Drainage des lits des cours deeau destruction de la jacinthe deeau
Reglementation de la peche
"
557;Foret;649;140104;"Bois de chauffe
Bois deeuvre
PFNL";"Diversification des especes ligneuses, non ligneuse et fauniques (singes, herisson, autres petits rongeurs) 
Exploitation du bois de chauffe et du bois deeuvre
Conservation des sols
Reservoir deeau";"Population 
Exploitants clandestin
Poste de contrele
Mairie
MINFEF";Difficulte e perenniser les ressources forestiere;"Deforestation
Coupe anarchique des bois de chauffe et des bois deeuvre
Pression demographique sur les terres cultivables
";;"Impliquer les populations dans la creation des forets communautaires dans les villages 
Reforestation (Introduire dans les essences e planter les arbres fruitiers, les PFNL, et les plantes medicinales)
Accentuer et organiser le contrele (reglementation)
Plan simple de gestion specifique e chaque foret"
558;Bas fond marecageux;650;140104;Exploitation pour la pratique des cultures maraecheres et cultures de contre saison;Developpement agricole;"Population
Proprietaire terrien
";Difficulte e proteger les ecosystemes dans les zones humides;"Destruction des plants de raphias dans les bas fonds
Amenagement non approprie des bas fonds existants
Assechement";;"Mettre en place un plan deamenagement des bas fonds marecageux
Planter les raphias dans les bas fonds marecageux"
559;Sable;651;140104;Construction commerce;"Disponible au sein des cours deeau
";Tous les habitants du village;"Difficulte e exploiter le sable
";"Acces difficile
Manque de materiel deextraction adequat";;"Faciliter leacces des carrieres de sable
Planifier leexploitation et la gestion rentable des carrieres"
560;Plan deutilisation et de gestion durable des terres de leespace communal;652;140104;"Construction
Route
commerce";"Disponible
Exploitable
Acces facile";"Mairie
population";Difficulte e rentabiliser la carriere;"Gestion inadequate
Exploitation artisanale
insecurite
";;"Etablir un plan simple de gestion, securiser la carriere
Moderniser leexploitation"
1;Zone d'habitation (Rurale, Urbain, ...);1;140105;;;;Difficulte deacces e la zone dehabitat en milieu urbain ;"Absence du plan sommaire deurbanisation ;
Relief tres accidente dans Certains quartiers (Ndiang, Manewang Emal) du centre urbain
Espace reduit en zone urbaine pour la construction des infrastructures
";"Occupation des domaines publics
Risque deeffondrement des maisons dans les zones deeboulement de terres (quartiers Emal)
Constructions anarchiques et parfois sur des sites dangereux
";"Elaborer le plan Sommaire deurbanisation de la commune de Manjo 
Viabiliser les lotissements dans la peripherie urbaine de Manjo"
2;Zone de monoculture;2;140105;;;;Difficulte deobtenir une  parcelle pour la creation deune plantation;Occupation des espaces par les societes PHP et SPM;"Impossible aux jeunes de creer de nouvelles plantations
Conflits entre les populations et les societes SPM et PHP.
";Trouver des modalites de compensation des populations
3;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;3;140105;;;;Difficulte e conserver les parcelles de forets existantes;"Destruction des forets pour la creation des plantations
Coupe anarchique des arbres e la recherche du bois de chauffe, du bois deoeuvre,
Pratique des feux de brousse et de leecobuage
";"Changement climatique
Pertubation du calendrier agricole 
Appauvrissement des sols";"Sensibiliser les populations e la creation des forets communautaires dans les villages
Introduire dans les essences e planter les arbres fruitiers et les plantes medicinales
Sensibiliser les populations sur les mefaits du feu de brousse
"
4;Ressource en eau;4;140105;;;;Difficulte pour les populations e faire usage de la ressource en eau disponible e certains endroits dans leur environnement ;"Depet deordures menageres dans les lits de cours deeaux
Les tuyaux de vidanges des latrines de certains domiciles dans la ville sont orientes dans le cours deeau Dibombe
";"Pollution de la source deeau
Obstruction des lits de cours deeau
Debordement de certains cours deeau en saison de pluie
Developpement des gites de moustiques dans les quartiers environnants 
";"Drainer le lit de chacun des ruisseaux suivant dans le centre urbain,
Sensibiliser les populations e ne plus jeter les ordures menageres dans les cours deeaux
Identifier et sanctionner tous ceux qui orientent les tuyaux deevacuation de leur latrine dans le cours deeau"
5;Bas fond marecageux;5;140105;;;;Difficulte e proteger les ecosystemes dans les zones humides;"Destruction des plants de raphias dans les bas fonds
Amenagement non approprie des bas fonds existant
";Destruction de certains elements de leecosysteme dans la zone marecageuse;"Mettre en place un plan deamenagement des bas fonds marecageux
Planter les raphias dans les bas fonds marecageux "
6;Zone d'eboulement multiple;6;140105;;;;Difficulte e stabiliser les terres dans certaines zones dehabitation ;"Existence des fortes pentes en amont
Obstruction des rigoles avec les ordures menageres 
Destabilisation du sol en aval des fortes pentes par les eaux de ruissellement 
Absences deexutoires amenages en aval des fortes pentes 
";"Les eaux de ruissellement pendant la saison de pluie passe ne importe oe
Les tranchees naissent progressivement  pour favoriser les  glissements de terrain
Destruction des maisons dehabitation et affaissement des voies deacces 
";"Sensibiliser les populations e quitter les zones deeboulement 
Construire les canaux deevacuation des eaux de ruissellement ;
Construire les exutoires deeaux de ruissellement dans les zones deeboulement 
Mettre dans les zones deeboulement les plantes qui stabilisent le sol  "
476;Espaces cultivables;566;140108;"Legere diminution des terres cultivables
Reduction de la fertilite (erosion progressive du sol)
Perte progressive du couvert vegetal
Appauvrissement du sol";"Tres fertiles (sol propice e de nombreuses cultures)
Encore exploitees de faeon intensive";"Ouvriers allogenes mobiles
Paysans residents";"Devastation des cultures par les betes et les parasites
Manque de materiels et deintrants agricoles
Litiges fonciers
Absence deun plan deurbanisation et de gestion des terres";;;"Organisation des agriculteurs en reseaux de GIC
Rehabilitation de la cooperative agricole de Melong
Appui des GIC Acquisition du materiel et des intrants agricoles
Delimitation des espaces agro pastoraux
Immatriculation des terres
Elaboration deun plan de gestion des terres"
477;Cours deeau;567;140108;"Reduction du debit et de la superficie
Montee des eaux en saison des pluies";"Reserves deeau
Riches en especes halieutiques
Riches en sable";"Tous les habitants du village
Pecheurs
commereants";"Usage de mauvaises techniques de peche
Pollution des eaux
Conflits entre pecheurs
Inondations
Acces enclave";;;"Sensibilisation des habitants e une gestion durable des cours deeau
Vulgarisation des techniques de traitement de leeau e domicile
Reglementation de la peche
Amenagement des cours deeau"
478;Sable;568;140108;Utilisation leche et non coordonnee;Disponible au sein des cours deeau;Tous les habitants du village;Manque de materiel deextraction adequat;;;Creation deune carriere de sable
479;Chutes;569;140108;Potentiel non exploite;Attrait touristique;"Les habitants du village
Visiteurs occasionnels";Acces difficile;;;Ouverture de leacces
480;Ressources minieres;570;140108;Potentiel non exploite;Non estime;Aucun;Insuffisance de moyens pour estimer et exploiter la ressource;;;Plaidoyer aupres du Ministere des mines, de leindustrie et du developpement technologique
481;Grottes;571;140108;Potentiel non exploite;Attrait touristique;"Les habitants du village
Visiteurs occasionnels";"Insuffisance de moyens pour estimer et exploiter la ressource
Forte emprise des autorites traditionnelles";;;"Amenagement de la grotte
Reduction de leemprise des autorites traditionnelles"
482;Foret;572;140108;Exploitation anarchique;Disponible ?au sein de la foret;"Proprietaires terriens (bois de chauffe)
Exploitants (exploitation intensive)";"Degradation de la foret
Perte progressive du couvert vegetal";;;"Contreler la coupe des arbres
Vulgarisation des techniques de reboisement
Rehabilitation de la reserve forestiere de Melong"
483;Bas-fond-Rafia;573;140108;Exploitation anarchique des especes;Disponibles au sein de la foret;"Tous les habitants des villages
Bayam sellam";Especes en voie de disparition;;;"Domestiquer les differentes especes
Rehabilitation de la reserve forestiere de Melong"
484;Laterite;574;140108;Carriere insuffisamment exploitee;Potentiel non estime;Acces non reglemente;Insuffisance de moyens pour estimer et exploiter la ressource;;;Prospecter la presence reelle et le potentiel de la ressource
493;Chutes;583;140109;"populations -societes agro-industrielles 
";"Assez important 
";"halogenes, libre
heritage -bail emphyteotique";"Usage des pesticides 
Nuisances sonores et olfactives et risques de maladies de vue et de peau. 
Village inhabite 
Pollution des cours deeau par des produits toxiques 
Acces difficile 
Acces difficile Abattage anarchique et braconnage  ";;;"Respect des aspects socio- environnementaux 
Denoncer les coupables 
Amenager leacces et le site 
Amenager leacces et le site 
Contreler leexploitation"
494;Cours deeau;584;140109;"Concessionnaire , populations 
Populations autochtones et halogenes 
";"Assez important -faible -faible 
important 
Moyen 
Faible Assez 
Important -moyen ";"libre , halogenes ,
Ministere des mines -RAS 
Concession -libre ";"Verser les taxes deexploitation aux riverains 
construction  des drains, sensibilisation et repression des populations 
Exploitation Anarchique de la foret 
Incivisme des populations 
Indisponibilite des terres pour les autochtones du fait de leurbanisation et des societes agro-industrielles ";;;"Verser les taxes deexploitation aux riverains 
Construction  des drains, sensibilisation et repression des populations 
Contreler leexploitation de la foret Amenager les lits des cours deeau - proteger les droits des autochtone"
495;Bas-fond;585;140109;;;libre , halogenes ;;;;
496;Lac;586;140109;"Populations , PHP -RAS -populations -populations et PHP -populations 
";"important 
moyen 
faible 
Assez eimportant 
moyen ";"libre , halogenes 
Heritage et bail ";Usage des pesticides -nuisances sonores et olfactives -exploitation anarchique de la foret ;;;Respect de la reglementation environnementale et forestiere
497;Carriere de pierre- graviers;587;140109;Concessionnaire , populations ;Assez important -faible -faible ;"libre , halogenes ,
Ministere des mines -RAS 
Concession -libre ";"Absence des taxes deexploitation aux autochtones 
incivisme des populations, inondations ";;;"Verser les taxes deexploitation aux riverains 
construction  des drains, sensibilisation et repression des populations "
498;Foret;588;140109;"Populations autochtones et halogenes 
";Assez important  ;libre , halogenes ;"Village inhabite 
Pollution des cours deeau par des produits toxiques 
Acces difficile 
Acces difficile Abattage anarchique et braconnage ";;;"Denoncer les coupables 
Amenager leacces et le site 
Amenager leacces et le site 
Contreler leexploitation"
499;Zones agricoles   ;589;140109;Cours deeau ;"Moyen et faible 
Faible -assez important 
";"libre , halogenes 
Heritage Bail";Exploitation anarchique de la foret -incivisme des populations -indisponibilite des terres pour les autochtones du fait de leurbanisation et des societes agroindustrielles ;;;"Contreler leexploitation de la foret Amenager les lits des cours deeau 
Proteger les droits des autochtones "
500;Sol;590;140109;"populations 
Societes agro industrielles 
";"Assez important 
";Heritage -bail emphyteotique ;"Usage des pesticides 
Nuisances sonores et olfactives et risques de maladies de vue et de peau ";;;Respect des aspects socio- environnementaux 
501;hydrographie;594;140109;"Residents pour 
eclairage  
Utilite transversale (activites economiques) ";90% ;"AES SONEL
Abonnement";Coupures recurrentes;;;Viabilisation du reseau
503;Grottes;593;140109;"Populations autochtones et halogenes 
";"Assez important  
";"libre 
";"Village inhabite 
Pollution des cours deeau par des produits toxiques 
Acces difficile 
Acces difficile Abattage anarchique et braconnage ";;;"Denoncer les coupables 
Amenager leacces et le site 
Amenager leacces et le site 
Contreler leexploitation"
542;Zones d'habitation;634;140111;;;;Difficulte deacces e la zone dehabitat en milieu urbain;"Absence du plan sommaire deurbanisation ;
Espace reduit en zone urbaine pour la construction des infrastructures";"Occupation des domaines publics
 Constructions anarchiques";"elaborer le plan Sommaire deurbanisation de la commune deEbone
Viabiliser les lotissements dans la peripherie urbaine deEbone"
543;Zone de monoculture;635;140111;;;;Difficulte deacces des jeunes aux parcelles terres cultivables;Occupation des espaces par les operateurs economique et les villageois;"Impossible aux jeunes de creer de nouvelles plantations
Conflits entre les populations";Trouver des modalites de compensation des populations
544;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;636;140111;;;;Difficulte e conserver les parcelles de forets existantes;"Destruction des forets pour la creation des plantations
Coupe anarchique des arbres e la recherche du bois de chauffe, du bois deeuvre,
Pratique des feux de brousse et de leecobuage";"Changement climatique
Perturbation du calendrier agricole
Appauvrissement des sols";"Sensibiliser les populations e la creation des forets communautaires dans les villages
Introduire dans les essences e planter les arbres fruitiers et les plantes medicinales
Sensibiliser les populations sur les mefaits du feu de brousse"
545;Ressource en eau;637;140111;;;;Difficulte pour les populations e faire usage de la ressource en eau disponible e certains endroits dans leur environnement;"Depet deordures menageres dans les lits de cours deeaux
Les tuyaux de vidanges des latrines de certains domiciles dans la ville sont orientes dans les cours deeau notamment derriere le CMA deebone";"Pollution de la source deeau
Obstruction des lits de cours deeau
Debordement de certains cours deeau en saison de pluie
Developpement des gites de moustiques dans les quartiers environnants";"Drainer le lit de chacun des ruisseaux suivant dans le centre urbain,
Sensibiliser les populations e ne plus jeter les ordures menageres dans les cours deeaux
Identifier et sanctionner tous ceux qui orientent les tuyaux deevacuation de leur latrines dans le cours deeau"
546;Bas fond marecageux;638;140111;;;;Difficulte e proteger les ecosystemes dans les zones humides;"Destruction des plants de bambou de chine dans les bas fonds
Amenagement non approprie des bas fonds existant";Destruction de certains elements de leecosysteme dans la zone marecageuse;"Mettre en place un plan deamenagement des bas fonds marecageux
Planter les bambous de chine dans les bas fonds marecageux"
547;Zone de pente et d'eboulement de terre;639;140111;;;;Difficulte e stabiliser les terres dans certaines zones dehabitation;"Existence des fortes pentes en amont (quartier administratif)
Obstruction des rigoles avec les ordures menageres
Destabilisation du sol en aval des fortes pentes par les eaux de ruissellement
Absences deexutoires amenages en aval des fortes pentes";"Les eaux de ruissellement pendant la saison de pluie passe ne importe oe
Les tranchees naissent progressivement pour favoriser les glissements de terrain
Destruction des maisons dehabitation et affaissement des voies deacces";"Sensibiliser les populations e limiter les effets deeboulement par les plantes ;
Construire les canaux deevacuation des eaux de ruissellement ;
Construire les exutoires deeaux de ruissellement dans les zones e risque deeboulement
Mettre dans ces zones les plantes qui stabilisent le sol"
685;Cours deeau;784;140112;"Utilisation menagere :
Abreuvage.
Arrosage, loisirs / Populations.
";"Fort potentiel de deux principaux cours deeau (Riviere Essoua et Riviere Mboeoh) et plusieurs affluents.
";;"Baisse de debit des cours deeaux en saison seche.
Inondation des champs en saison de pluies.
Pollution.
Faible pratique de la peche.
";;;"Reglementation de leexploitation des cours deeau.
Sensibilisation sur la non pollution.
Sensibilisation sur la gestion durable des ressources en eau.
Amenagement des espaces de loisir.
"
686;Marecage;785;140112;Pratique de leagriculture Culture maraichere (tomate, gombo, piment, e).;"Vastes autour des principales rivieres.
Bambou de raphia, bambou de chine.
Sols fertiles.
";;"Enclavement, difficulte deacces.
Difficulte deevacuation des produits agricoles.
Inondations en saison de pluie.
Biotope des reptiles.
";;;"Renforcement des capacites des preservations des zones marecageuses, leusage et la proprete des bas-fonds.
Amenagement des voies d'acces.
Interdiction des constructions en zones marecageuses.
Promotion du reboisement.
Formation des maraichers.

"
687;Foret;786;140112;"Chasse, culture de rente, coupe du bois de chauffage.
Exploitation du bois deeuvre pour constructions.
";"Forets sacrees Presence de la faune (petits rongeurs, herbivores sauvages, Petits carnivores, singes), bois deeuvre (Iroko, Bibinga, Padouk, Mangossi, Pachi), essences medicinales et produits forestiers non ligneux (Noisettes,Colae).
";;"Chasse abusive, deforestation.
Disparition des essences forestieres et des plantes medicinales.
Feux de brousse.
Rarete des ressources fauniques.
";;;"Sensibilisation sur les dangers de leagriculture itinerante sur brulis, le braconnage, les feux de brousse, la coupe abusive du bois.
Promotion du reboisement.
Creation des comites locaux de gestions des forets.
"
