NEnr;IDZoneIDCadre;ID_Probleme;IDProbleme;Probleme;IDZone;Archive;IDCadre;IDSource;_MiseAJour
1 167;1701040516;1217;170104PB1217;DIFFICULTES DeEPANOUISSEMENT DES POPULATIONS DANS LES ACTIVITES DE SPORT ET DeEDUCATION PHYSIQUE;170104;0;0516;0;
1 168;1701040514;1218;170104PB1218;DIFFICULTES DeEPANOUISSEMENT DES POPULATIONS DANS LES ACTIVITES DE CULTURE;170104;0;0514;0;
1 169;1701040523;1219;170104PB1219; DIFFICULTE DeEPANOUISSEMENT DES POPULATIONS DANS LES ACTIVITES DE TOURISME;170104;0;0523;0;
1 170;1701040545;1220;170104PB1220; DIFFICULTE DeACCES AUX TECHNOLOGIES DE LeINFORMATION ET DE LA COMMUNICATION - ;170104;0;0545;0;
1 171;1701040829;1221;170104PB1221;DIFFICULTES DANS LeEXPLOITATION, LA GESTION DES CARRIERES ET LeIMPLANTATION DES INDUSTRIES;170104;0;0829;0;
1 172;1701040838;1222;170104PB1222; DIFFICULTES DeACCES A UN HABITAT SOCIAL DECENT DANS UN ENVIRONNEMENT SAIN ;170104;0;0838;0;
1 173;1701040837;1223;170104PB1223; ABSENCE DeUN PLAN CADASTRAL DANS LE CENTRE URBAIN COMMUNAL;170104;0;0837;0;
1 174;1701040033;1224;170104PB1224;DESTRUCTION ABUSIVE DU COUVERT VEGETAL ET DES ESPECES FAUNIQUES ;170104;0;0033;0;
1 175;1701040426;1225;170104PB1225;TAUX ELEVE DE CHOMAGE DES JEUNES DANS LA COMMUNE DE MBOUDA;170104;0;0426;0;
1 176;1701040517;1226;170104PB1226; DIFFICULTES DeACCES AUX RESEAUX AUDIOVISUELS DANS LA COMMUNE DE MBOUDA;170104;0;0517;0;
1 177;1701040741;1227;170104PB1227; NON SOUSCRIPTION A LA SECURITE SOCIALE DE LA QUASI-TOTALITE DES CORPS DE METIERS DU SECTEUR PRIVE ET DE LA SOCIETE CIVILE EXISTANT DANS LA COMMUNE DE MBOUDA. -;170104;0;0741;0;
1 178;1701040028;1228;170104PB1228;FAIBLE PRISE EN COMPTE DES ASPECTS SOCIO ENVIRONNEMENTAUX DANS LeIMPLEMENTATION ET LA  REALISATION DES ACTIVITES COMMUNALES;170104;0;0028;0;
1 179;1701040419;1229;170104PB1229; DIFFICULTES DeACCES DES POPULATIONS AUX AVANTAGES LIES AUX PROGRES  DE LA RECHERCHE SCIENTIFIQUE ;170104;0;0419;0;
1 180;1703030000;1230;170303PB1230;Faible rendement du personnel  ;170303;0;0000;0;
1 181;1703030000;1231;170303PB1231;"Faible mobilisation des ressources propres  
";170303;0;0000;0;
1 182;1703030000;1232;170303PB1232;Difficulte e bien gerer le patrimoine communal ;170303;0;0000;0;
1 183;1703030000;1233;170303PB1233;Faible communication de leinstitution communale  ;170303;0;0000;0;
1 184;1703030930;1234;170303PB1234;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Batie ;170303;0;0930;0;
1 185;1703030931;1235;170303PB1235;Difficulte deacces aux produits deelevage de qualite dans la commune de Batie ;170303;0;0931;0;
1 186;1703030640;1236;170303PB1236;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Batie ;170303;0;0640;0;
1 187;1703030836;1237;170303PB1237;Difficulte de deplacement dans les villages de la commune de Batie ;170303;0;0836;0;
1 188;1703030415;1238;170303PB1238; Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Batie;170303;0;0415;0;
1 189;1703030514;1239;170303PB1239;Difficulte deacces e une infrastructure deanimation socio culturelle et faible valorisation du potentiel culturel dans les villages de la commune;170303;0;0514;0;
1 190;1703030243;1240;170303PB1240; Difficulte pour certaines familles e avoir acces au bien etre et leharmonie et faible epanouissement de la femme dans la commune ;170303;0;0243;0;
1 191;1703030742;1241;170303PB1241;Difficulte pour les personnes vulnerables e avoir acces aux facilites mises en place en leur faveur par leEtat;170303;0;0742;0;
1 192;1703030832;1242;170303PB1242;Difficulte deacces e leeau potable dans la commune de Batie ;170303;0;0832;0;
1 193;1703030832;1243;170303PB1243;Difficulte deacces e leenergie electrique dans la commune de Batie ;170303;0;0832;0;
1 194;1703030832;1244;170303PB1244;Difficulte deacces aux toilettes Ameliorees  tant dans les villages que dans leespace urbain communal de Batie;170303;0;0832;0;
1 195;1703030832;1245;170303PB1245;Difficulte deacces aux produits petroliers de qualite dans les villages dans la commune;170303;0;0832;0;
1 196;1703030425;1246;170303PB1246;Difficulte deacces e un enseignement de qualite dans les etablissements deenseignement secondaire de la commune de Batie;170303;0;0425;0;
1 197;1703030735;1247;170303PB1247;Difficulte deacces e un emploi decent et e une structure de formation professionnelle dans la commune de Batie ;170303;0;0735;0;
1 198;1703030741;1248;170303PB1248;Difficulte pour les travailleurs de tout secteur dans la commune e beneficier deune couverture de securite sociale dans la commune de Batie;170303;0;0741;0;
1 199;1703030523;1249;170303PB1249;Difficulte pour leinstitution communale e tirer profit du potentiel touristique qui existe et e offrir des infrastructures de loisirs aux populations dans la commune de Batie ;170303;0;0523;0;
1 200;1703030033;1250;170303PB1250;Difficulte e preserver et e conserver le potentiel forestier et faunique existant dans la commune de Batie ;170303;0;0033;0;
1 201;1703030028;1251;170303PB1251; Difficultes deacces e un environnement sain et securise dans la commune de Batie;170303;0;0028;0;
1 202;1703030838;1252;170303PB1252;Difficulte e conduire avec aisance le processus de developpement urbain et de promotion de lehabitat social dans la commune;170303;0;0838;0;
1 203;1703030837;1253;170303PB1253;Difficulte deacces e un titre de propriete fonciere et e maitriser les procedures deoccupation des domaines dans la commune de Batie ;170303;0;0837;0;
1 204;1703030419;1254;170303PB1254;Difficulte pour les producteurs e avoir acces aux resultats de la recherche agricole et zootechnique et aux innovations dans la commune;170303;0;0419;0;
1 205;1703030921;1255;170303PB1255; Difficulte deacces e une infrastructure adequate de marchande et e mener e bien les activites de commerce dans la commune de Batie;170303;0;0921;0;
1 206;1703030426;1256;170303PB1256;Difficulte pour les jeunes dans la commune e avoir acces aux informations sur les projets et programmes et aux structures de formation et deanimation ;170303;0;0426;0;
1 207;1703030516;1257;170303PB1257;Difficulte deacces e une infrastructure sportive adequate dans la commune de Batie;170303;0;0516;0;
1 208;1703030939;1258;170303PB1258;Faible developpement des PME dans la commune ;170303;0;0939;0;
1 209;1703030829;1259;170303PB1259;Difficulte e mettre en valeur et e tirer grandement profit du potentiel des ressources naturelles existant dans la commune ;170303;0;0829;0;
1 210;1703030846;1260;170303PB1260;Difficulte deacces e un moyen de transport adequat dans la commune de Batie  ;170303;0;0846;0;
1 211;1703030545;1261;170303PB1261;Difficulte deacces aux services offerts par la poste et telecommunication dans la commune de Batie;170303;0;0545;0;
1 212;1703030517;1262;170303PB1262;Difficultes deacces aux reseaux audio visuel dans la commune et aux moyens de communication moderne au sein de leinstitution communale;170303;0;0517;0;
1 213;1703030307;1263;170303PB1263; Difficulte e mettre en euvre le processus de decentralisation dans la commune;170303;0;0307;0;
1 214;1703030418;1264;170303PB1264;Difficultes pour bon nombre de parents e prendre en charge les frais et autres coets en lien avec la scolarite de leurs enfants dans leenseignement superieur ;170303;0;0418;0;
1 215;1703020930;1265;170302PB1265;Difficulte de developpement des activites rentables deagriculture;170302;0;0930;0;
1 216;1403060930;1266;140306PB1266;Faible production agricole;140306;0;0930;0;
1 217;1403060931;1267;140306PB1267;Faible production animale et halieutique;140306;0;0931;0;
1 218;1403060640;1268;140306PB1268;Difficulte deacces aux soins de sante de qualite;140306;0;0640;0;
1 219;1703020931;1269;170302PB1269;Difficulte de developpement des activites rentables deelevage;170302;0;0931;0;
1 220;1403060415;1270;140306PB1270;Acces insuffisant e leeducation de base;140306;0;0415;0;
1 221;1703020640;1271;170302PB1271;difficulte de fourniture des soins de sante de qualite  par les formations sanitaires de la commune de BAMENDJOU;170302;0;0640;0;
1 222;1703020836;1272;170302PB1272;"Inadequation entre la qualite du reseau routier et les objectifs de la politique de developpement local 
";170302;0;0836;0;
1 223;1403060425;1273;140306PB1273;Difficulte deacces aux enseignements de qualite;140306;0;0425;0;
1 224;1703020415;1274;170302PB1274;Insuffisance  de fourniture des services de qualite  deeducation de base  ;170302;0;0415;0;
1 225;1403060836;1275;140306PB1275;Difficulte deacces aux infrastructures routieres de qualite;140306;0;0836;0;
1 226;1403060426;1276;140306PB1276;"Analphabetisme accentue
Faible capacite entrepreneuriale Faible acces au financement
Faible mobilisation des jeunes autour des activites generatrices des revenus (AGR)";140306;0;0426;0;
1 227;1403060832;1277;140306PB1277;Difficulte deacces e leenergie electrique;140306;0;0832;0;
1 228;1403060832;1278;140306PB1278;Difficulte deacces des populations e leeau potable;140306;0;0832;0;
1 229;1703020514;1279;170302PB1279;Insuffisance de promotion des activites e caractere socioculturel;170302;0;0514;0;
1 230;1703020243;1280;170302PB1280;Difficulte  deencadrement et de promotion de  leepanouissement de la femme et de la famille;170302;0;0243;0;
1 231;1703020742;1281;170302PB1281;Difficulte  de fourniture des services  deassistance materielle et psychosociale des couches  sociales vulnerables ;170302;0;0742;0;
1 232;1703020832;1282;170302PB1282;Le niveau de  fourniture de  leenergie electrique demeure  insatisfaisant dans la Commune de BAMENDJOU ;170302;0;0832;0;
1 233;1703020832;1283;170302PB1283;Difficulte deacces  e leeau potable   dans la Commune de BAMENDJOU ;170302;0;0832;0;
1 234;1403060742;1284;140306PB1284;Acces difficile des personnes vulnerables aux infrastructures sociales;140306;0;0742;0;
1 235;1403060243;1285;140306PB1285;Difficulte deepanouissement de la femme et de la famille;140306;0;0243;0;
1 236;1403060514;1286;140306PB1286;Difficulte de valorisation du potentiel culturel;140306;0;0514;0;
1 237;1403060939;1287;140306PB1287;Difficulte developpement du secteur de leartisanat et des AGR;140306;0;0939;0;
1 238;1403060829;1288;140306PB1288;Difficulte de developpement de leexploitation des produits de carriere et des autres ressources;140306;0;0829;0;
1 239;1403060523;1289;140306PB1289;Faible developpement des activites touristiques;140306;0;0523;0;
1 240;1403060837;1290;140306PB1290;Difficulte de securisation fonciere;140306;0;0837;0;
1 241;1403060921;1291;140306PB1291;Difficulte de commercialisation des produits;140306;0;0921;0;
1 242;1403060846;1292;140306PB1292;Precarite des conditions de transport;140306;0;0846;0;
1 243;1403060545;1293;140306PB1293;Difficulte deacces e leinformation et aux services postaux;140306;0;0545;0;
1 244;1403060307;1294;140306PB1294;Autorite des chefs non reconnues;140306;0;0307;0;
1 245;1403060033;1295;140306PB1295;Faibles capacites locales de contrele des activites illicites en milieux forestier;140306;0;0033;0;
1 246;1403060028;1296;140306PB1296;Degradation de leEnvironnement;140306;0;0028;0;
1 247;1403060838;1297;140306PB1297;Insalubrite et faible urbanisation;140306;0;0838;0;
1 248;1403060735;1298;140306PB1298;Difficulte deacces aux emplois decents et e la formation professionnelle;140306;0;0735;0;
1 249;1403060741;1299;140306PB1299;Faible epanouissement des travailleurs et retraites;140306;0;0741;0;
1 250;1403060516;1300;140306PB1300;Difficulte de pratique des activites sportives;140306;0;0516;0;
1 251;1403060419;1301;140306PB1301;Insuffisance deinformations relatives aux resultats de la recherche et recherche scientifique;140306;0;0419;0;
1 252;1403060418;1302;140306PB1302;Faible acces des jeunes de la Commune aux etudes superieures;140306;0;0418;0;
1 253;1403060517;1303;140306PB1303;Acces difficile e leinformation de proximite;140306;0;0517;0;
1 254;1703020832;1304;170302PB1304;Difficulte deacces  e leeau potable   dans la Commune de BAMENDJOU;170302;0;0832;0;
1 255;1703020832;1305;170302PB1305;Insalubrite du marche central  et dans les villages de BAMENDJOU ;170302;0;0832;0;
1 256;1703020425;1306;170302PB1306;Insuffisance  dans la fourniture  de service de qualite  deenseignement secondaire;170302;0;0425;0;
1 257;1703020735;1307;170302PB1307;Difficultes de formation professionnelle dans leespace communal de BAMENDJOU;170302;0;0735;0;
1 258;1703020741;1308;170302PB1308;Difficulte de promouvoir une  securite sociale chez les agriculteurs/eleveurs  et autres travailleurs du secteur informel;170302;0;0741;0;
1 259;1703020523;1309;170302PB1309;Le  developpement des activites generatrices de revenus touristiques,  reste embryonnaire dans la commune de BAMENDJOU;170302;0;0523;0;
1 260;1703020033;1310;170302PB1310;disparition progressive  des galeries  forestieres  et du patrimoine  faunique de la commune de BAMENDJOU;170302;0;0033;0;
1 261;1703020028;1311;170302PB1311;Absence de prise de conscience sur la necessite de la protection de leenvironnement;170302;0;0028;0;
1 262;1703020838;1312;170302PB1312;Difficulte de gestion et de maetrise de leoccupation de leespace urbain  de BAMENDJOU;170302;0;0838;0;
1 263;1703020837;1313;170302PB1313;Difficultes  pour les populations de BAMENDJOU deacceder e un titre de propriete immobiliere;170302;0;0837;0;
1 264;1703020419;1314;170302PB1314;Faible niveau deutilisation des resultats    des recherches scientifiques;170302;0;0419;0;
1 265;1703020921;1315;170302PB1315;Difficulte  de developpement des activites de commerce  dans la commune de BAMENDJOU ;170302;0;0921;0;
1 266;1703020426;1316;170302PB1316;Precarite des conditions  de vie  des jeunes   dans la commune de BAMENDJOU ;170302;0;0426;0;
1 267;1703020516;1317;170302PB1317;Difficulte de developpement des activites de sport et deeducation physique dans la commune de BAMENDJOU ;170302;0;0516;0;
1 268;1703020939;1318;170302PB1318;Difficultes de developpement  des petites et moyennes entreprises, de leeconomie sociale et de leartisanat  dans la commune de BAMENDJOU. ;170302;0;0939;0;
1 269;1703020829;1319;170302PB1319;Leexploitation des ressources minieres identifiees (sable de TCHOUM, carriere de laterite   de BATOUNTA   etc.) neest pas optimale et les technologies de transformation font defaut  dans la commune;170302;0;0829;0;
1 270;1703020846;1320;170302PB1320;Difficulte deorganisation du systeme de transport  dans leespace communal  de BAMENDJOU;170302;0;0846;0;
1 271;1703020545;1321;170302PB1321;Insuffisance deacces aux media et autres  canaux modernes de communication  (radio, telephone portable, internet);170302;0;0545;0;
1 272;1703020517;1322;170302PB1322;difficultes de communication sur les problemes de developpement et autres dans  la commune de  BAMENDJOU;170302;0;0517;0;
1 273;1703020307;1323;170302PB1323;Probleme 1 : Le niveau deatteinte des objectifs de la decentralisation dans la commune de BAMENDJOU neest pas satisfaisant ;170302;0;0307;0;
1 274;1703020307;1324;170302PB1324;Difficulte pour  leinstitution Communale de BAMENDJOU  deassurer   son rele maetre deouvrage du processus de developpement local;170302;0;0307;0;
1 275;1703020418;1325;170302PB1325;Inaccessibilite grandissante e leenseignement superieur     pour les jeunes de la commune de BAMENDJOU ;170302;0;0418;0;
1 276;1602020415;1326;160202PB1326;"Inadequate infrastructure
Limited qualified staff 
Limited school equipments 
In accessibilities into secondary schools";160202;0;0415;0;
1 277;1602020640;1327;160202PB1327;"nadequate Infrastructure, 
Limited qualified staff
Inadequate Supply of Drugs
High cost of drugs
Poorly equipped government health centers
Inadequate health centers";160202;0;0640;0;
1 278;1602020836;1328;160202PB1328;"Limited public infrastructure
Poor Drainage 
Poor Maintenance of Roads 
Inaccessibility To Other Areas 
Poor awards of contracts";160202;0;0836;0;
1 279;1602020832;1329;160202PB1329;"Shortage in supply
Unplanned water cuts
Late payment of bills by population.
Lack of rules and regulations binding the water schemes
Lack of equipments to carry out repairs
Lack public stand pipes.
Old ubiquitous pipes
Uninterrupted water scheme
Poorly planned infrastructure";160202;0;0832;0;
1 280;1602020415;1330;160202PB1330;"Inadequate schools,Infrastructure, Equipment  
Limited trained teachers 
No recreational facilities 
Lack of toilets 
Frequent change of text books ";160202;0;0415;0;
1 281;1602020832;1331;160202PB1331;"Electricity Shortage 
Fluctuating voltage 
Lack of alternative energy sources.
Unplanned electricity cuts
High electricity bills
Ignorance of the population about the calculation of bill
Limited coverage";160202;0;0832;0;
1 282;1602020516;1332;160202PB1332;"Limited Sporting Facilities/ Personnel 
Lack of Equipment ";160202;0;0516;0;
1 283;1602020418;1333;160202PB1333;Complete lack of Higher Education Institution ;160202;0;0418;0;
1 284;1602020838;1334;160202PB1334;"Poor drainage 
Limited experts    
No Street Lights";160202;0;0838;0;
1 285;1602020837;1335;160202PB1335;"Extra cost incurred in obtaining a land certificate 
Boundary conflicts";160202;0;0837;0;
1 286;1602020243;1336;160202PB1336;"Limited  access to   property ownership 
Ignorance of their rights ";160202;0;0243;0;
1 287;1602020735;1337;160202PB1337;"Limited or no job opportunities.
Limited vocational training schools 
Training not adapted to the available jobs
Low intake in to public services of trained personnel
Limited equipments in vocational centers";160202;0;0735;0;
1 288;1602020307;1338;160202PB1338;"Insecurity/banditry
Bribery and corruption 
Limited equipments
Limited information and technology
Limited council land";160202;0;0307;0;
1 289;1602020514;1339;160202PB1339;"Lack of cultural halls for exhibitions
Lack of cultural sustainability ";160202;0;0514;0;
1 290;1602020419;1340;160202PB1340;Lack of a research centre;160202;0;0419;0;
1 291;1602020545;1341;160202PB1341;"Poor network 
High teleph01 charges 
Limited coverage";160202;0;0545;0;
1 292;1602020931;1342;160202PB1342;"High cost of animal feed/drugs
Low investment in the animal business
Lack of veterinary clinic  
Limited cattle drinking points for animals and unhealthy pasture
Farmer/grazer conflicts
No storage facilities";160202;0;0931;0;
1 293;1602020523;1343;160202PB1343;"Unexploited tourist sites
Lack of tourist establishments";160202;0;0523;0;
1 294;1602020028;1344;160202PB1344;"Random wild fires
Destruction of natural forest
Poor waste management ";160202;0;0028;0;
1 295;1602020033;1345;160202PB1345;"Illegal hunting 
Deforestation
";160202;0;0033;0;
1 296;1602020741;1346;160202PB1346;"Inability to timely access retirement benefits
Non payment of insurance benefits
Maltreatment of workers/exploitation by managers";160202;0;0741;0;
1 297;1602020921;1347;160202PB1347;"Lack of capital for business
Limited markets
High taxes
High interest rates
Loss of goods";160202;0;0921;0;
1 298;1602020939;1348;160202PB1348;"Lack of small and medium sized enterprises
High interest rates
High taxes
Loss of goods";160202;0;0939;0;
1 299;1602020426;1349;160202PB1349;Unemployment;160202;0;0426;0;
1 300;1602020829;1350;160202PB1350;"No mines
Lack of industries";160202;0;0829;0;
1 301;1602020742;1351;160202PB1351;"Lack of social centers
Child trafficking
Child labour and exploitation
Marital crisis  
Stigma and discrimination
Negligence of the death ";160202;0;0742;0;
1 302;1602020930;1352;160202PB1352;"Farmer-grazer 
Lack of farm to market roads     
Lack of farm tools and inputs
Low productivity";160202;0;0930;0;
1 303;1602020846;1353;160202PB1353;"Limited means of transportation
Harassments from police officers
Road accidents";160202;0;0846;0;
1 304;1103010931;1354;110301PB1354;Faible rentabilite des activites deelevage et de peche;110301;0;0931;0;
1 305;1103010419;1355;110301PB1355;Recrudescence des IST/VIH;110301;0;0419;0;
1 306;1103010514;1356;110301PB1356;Faible valorisation de la culture locale;110301;0;0514;0;
1 307;1103010243;1357;110301PB1357;Faible encadrement de la famille;110301;0;0243;0;
1 308;1103010243;1358;110301PB1358;Faiblesse des femmes e promouvoir le leadership feminin;110301;0;0243;0;
1 309;1103010742;1359;110301PB1359;Difficultes deinsertion socioprofessionnelle des personnes vulnerables;110301;0;0742;0;
1 310;1103010832;1360;110301PB1360;Environnement non assaini;110301;0;0832;0;
1 311;1103010425;1361;110301PB1361;Difficultes deacces e un enseignement secondaire de qualite;110301;0;0425;0;
1 312;1103010735;1362;110301PB1362;Difficultes deacces e un emploi stable;110301;0;0735;0;
1 313;1103010735;1363;110301PB1363;Difficultes deacces e une formation professionnelle;110301;0;0735;0;
1 314;1103010741;1364;110301PB1364;Faible couverture des travailleurs par le systeme de securite sociale;110301;0;0741;0;
1 315;1103010523;1365;110301PB1365;Faible valorisation du potentiel touristique existant;110301;0;0523;0;
1 316;1103010033;1366;110301PB1366;Disparition progressive de la foret et de la faune;110301;0;0033;0;
1 317;1103010640;1367;110301PB1367;Recrudescence des IST/VIH;110301;0;0640;0;
1 318;1103010028;1368;110301PB1368;Ignorance de leimportance e preserver la nature et e assainir leenvironnement;110301;0;0028;0;
1 319;1103010838;1369;110301PB1369;Construction anarchique de lehabitat;110301;0;0838;0;
1 320;1103010837;1370;110301PB1370;Difficultes deacces au titre de propriete fonciere;110301;0;0837;0;
1 321;1103010419;1371;110301PB1371;Utilisation marginale des resultats de la recherche;110301;0;0419;0;
1 322;1103010921;1372;110301PB1372;Difficultes e exercer les activites commerciales;110301;0;0921;0;
1 323;1103010921;1373;110301PB1373;Difficultes e commercialiser les produits agricoles;110301;0;0921;0;
1 324;1103010426;1374;110301PB1374;Difficultes deinsertion socio professionnelle des jeunes;110301;0;0426;0;
1 325;1103010516;1375;110301PB1375;Difficultes e pratiquer les activites sportives et deeducation physique;110301;0;0516;0;
1 326;1103010939;1376;110301PB1376;Difficultes e organiser les activites des PME;110301;0;0939;0;
1 327;1103010829;1377;110301PB1377;Faible niveau deexploitation des ressources naturelles existantes (carrieres de sable);110301;0;0829;0;
1 328;1103010846;1378;110301PB1378;Difficultes de mobilite des personnes et des biens;110301;0;0846;0;
1 329;1103010545;1379;110301PB1379;Difficultes e communiquer;110301;0;0545;0;
1 330;1103010517;1380;110301PB1380;Difficultes deacces e leinformation;110301;0;0517;0;
1 331;1103010307;1381;110301PB1381;Difficultes e se faire etablir certains actes administratifs;110301;0;0307;0;
1 332;1103010307;1382;110301PB1382;Actes de banditisme et de vandalisme grandissants;110301;0;0307;0;
1 333;1103010307;1383;110301PB1383;Insuffisance et/ ou vetuste des infrastructures administratives et equipements;110301;0;0307;0;
1 334;1103010418;1384;110301PB1384;Difficultes deacces e leenseignement superieur;110301;0;0418;0;
1 336;1702050930;1386;170205PB1386;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 337;1702050930;1387;170205PB1387;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 338;1702050930;1388;170205PB1388;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 339;1702050930;1389;170205PB1389;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 340;1702050930;1390;170205PB1390;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 341;1702050930;1391;170205PB1391;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 342;1702050930;1392;170205PB1392;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 343;1702050930;1393;170205PB1393;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 344;1702050930;1394;170205PB1394;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 345;1702050930;1395;170205PB1395;Difficulte pour les producteurs e obtenir de bons rendements agricoles dans la commune de Kekem;170205;0;0930;0;
1 346;1702050931;1396;170205PB1396;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 347;1702050931;1397;170205PB1397;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 348;1702050931;1398;170205PB1398;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 349;1702050931;1399;170205PB1399;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 350;1702050931;1400;170205PB1400;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 351;1702050931;1401;170205PB1401;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 352;1702050931;1402;170205PB1402;Difficulte deacces aux produits deelevage de qualite dans la commune de Kekem;170205;0;0931;0;
1 353;1702050640;1403;170205PB1403;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 354;1702050640;1404;170205PB1404;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 355;1702050640;1405;170205PB1405;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 356;1702050640;1406;170205PB1406;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 357;1702050640;1407;170205PB1407;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 358;1702050640;1408;170205PB1408;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 359;1702050640;1409;170205PB1409;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 360;1702050640;1410;170205PB1410;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 361;1702050640;1411;170205PB1411;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 362;1702050640;1412;170205PB1412;Difficulte deacces aux soins de sante de qualite dans les structures de sante presentes dans la commune de Kekem;170205;0;0640;0;
1 363;1702050836;1413;170205PB1413;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 364;1702050836;1414;170205PB1414;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 365;1702050836;1415;170205PB1415;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 366;1702050836;1416;170205PB1416;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 367;1702050836;1417;170205PB1417;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 368;1702050836;1418;170205PB1418;Difficulte de deplacement dans les villages de la commune de Kekem;170205;0;0836;0;
1 369;1702050415;1419;170205PB1419;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 370;1702050415;1420;170205PB1420;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 371;1702050415;1421;170205PB1421;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 372;1702050415;1422;170205PB1422;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 373;1702050415;1423;170205PB1423;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 374;1702050415;1424;170205PB1424;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 375;1702050415;1425;170205PB1425;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 376;1702050415;1426;170205PB1426;Difficulte deacces e un enseignement de qualite dans les ecoles primaires et maternelles dans la commune de Kekem;170205;0;0415;0;
1 377;1702050514;1427;170205PB1427;Difficulte deacces e une infrastructure deanimation socio culturelle et faible valorisation du potentiel culturel dans les villages de la commune;170205;0;0514;0;
1 378;1702050514;1428;170205PB1428;Difficulte deacces e une infrastructure deanimation socio culturelle et faible valorisation du potentiel culturel dans les villages de la commune;170205;0;0514;0;
1 379;1702050514;1429;170205PB1429;Difficulte deacces e une infrastructure deanimation socio culturelle et faible valorisation du potentiel culturel dans les villages de la commune;170205;0;0514;0;
1 380;1702050243;1430;170205PB1430;Difficulte pour certaines familles e avoir acces au bien etre et leharmonie et faible epanouissement de la femme dans la commune;170205;0;0243;0;
1 381;1702050243;1431;170205PB1431;Difficulte pour certaines familles e avoir acces au bien etre et leharmonie et faible epanouissement de la femme dans la commune;170205;0;0243;0;
1 382;1702050243;1432;170205PB1432;Difficulte pour certaines familles e avoir acces au bien etre et leharmonie et faible epanouissement de la femme dans la commune;170205;0;0243;0;
