Enr;IDPRessources;IDZone;Ressource;Caracteristique;UtilisationActuelle;Potentialite;Contrainte;ActionaMener;AccesControle;Archive;IDSource;_MiseAJour;CoordX;CoordY;CoordZ;ModeGestion;Tendances
136;138;150107;Collines;"Rocailleux ;Buisson ;Presence des reptiles et rongeurs";"Chasse ;Coupe de la paille";"Carriere de graviers ;Produits forestiers non ligneuxPlantes medicinales";"Difficultes deaccessibilites ;Niches des malfaiteurs";Lutte contre les feux de brousse et le deboisement des especes floristiques;LibreTendance : Degradation; ;0;;0;0;0;;
137;139;150107;Forets;Arbustives;"Chasse ;Coupe de la paille et du bois ;Agriculture et elevage";Diversite de la flore et de la fauneExistence des plantes medicinales;Amenagement des espaces pour leagricultureAmenagement des espaces dehabitationsExtension des zones de peturageCoupe anarchique du bois;Sensibilisation des populations sur les consequences de la deforestationCreation des bosquets et reboiser les espaces en voie de degradationMise en place des comites de suivi et de gestion des espacesRenforcement du contrele et application des mesures correctives;LibreTendance : Degradation due aux (actions anthropiques dont la coupe abusive et la pratique de leagriculture et leelevage extensifs); ;0;;0;0;0;;
138;140;150107;Mayo et lacs;SablonneuxCaillouteux;Peche,Agriculture maraichere;SableEau,Poisson,Fourrage,Abreuvement betails;Degradation des bergesEnsablement des lacsDisparition de certaines;Reboisement des berges des mayo et des lacsMise en place un mecanisme de gestion faire respecter la reglementation en matiere de peche Reglementer leactivite des peches par le contrele du respect de la periode de repos biologique et leutilisation des materiels adequats;Acces libreTendance : Regressive.; ;0;;0;0;0;;
139;141;150107;Bas fonds ;Sols hydriquesPresence de la matiere organiqueSols utilisables par saison;Agriculture, ElevagePoterie et Briqueterie;Poterie et briqueterieHerbes de peturage,Terre fertile et propice pour le maraichage, la riziculture et les fruitiers;Conflits agropastoraux, debats des cultures par les hippopotames;Amenagement et securisation des bas-fonds,Amenagement des pistes deaccesMise en place des comites de gestion;Acces libreTendance : Degradation, baisse de la fertilite, erosion, inondation; ;0;;0;0;0;;
140;142;150107;Zone de peturage;Sols hydriquesmatiere organiqueSols utilisables par saison;Elevage;Existence du peturageFumier;Conflit agropastoraux,Occupation par les cultures,Feux de brousse;Mise en place des comites de gestionReboisement des espaces fourragersDelimitation, amenagement et securisation des espaces de peturage;Acces libreTendance : Degradation des especes floristiques; ;0;;0;0;0;;
141;143;100201;Cours deeau poissonneux;Cours deeau (mayo voure, mayo beeli, mayo Tagouri, Bana, etc.).Lahore (Galim eTignere, Djamboutou 2);" Lessive ; boisson domestique ;Abreuvement des animaux ;maraechage pecheexploitation miniereAbreuvement des animauxBoisson domestique";Tres important;Tarissement des cours deeau,Destruction de la foret-galerie,pollution,tarissementDestruction des berges des cours deeaurastructure en mauvais etat;Protection des berges par reboisementRehabilitation des infrastructures des Lahore de Galim Tignere et de Djamboutou 2;Pas de contrele; ;0;;0;0;0;;
142;144;100201;Forets;Foret-galerie;Exploitation de bois de chauffe et deeuvrePrelevement deespeces medicinales;important;Exploitation anarchique,deboisement,desertificationFeux de brousseExploitation illicite du bois;Organisation de leexploitationpromotion du reboisementamenagement forestier des elots restants;Service foret et FauneService environnement et protection de la natureAutorite traditionnelle; ;0;;0;0;0;;
143;145;100201;Savane ;Savanes (60% de la superficie de la Commune);" Peturage ;coupe du bois de chauffe ;Prelevement deespeces medicinales ;construction des cletures autour des champs";Existence de plusieurs essences, source de biodiversite;Conflits agropastoraux,Feux de brousse non contreles;Sensibilisation des populations sur les periodes convenables des feux de brousse,Zonage des espaces pastoraux et agricoles;Service foret et FauneService environnement et protection de la natureAutorite traditionnelle; ;0;;0;0;0;;
144;146;100201;Faune;Dans toutes la commune avec une forte concentration sur le Mbabo (singes,phacocheres, hyenes, touraco geant, lapins, lievre, etc.).;Chasse illicite;Tres important; Braconnage, insuffisance du contrele Destruction des biotopes animaux;" Lutte contre le braconnage ;- protection des especes et de leur habitat";Service foret et Faune-Autorite traditionnelle; ;0;;0;0;0;;
145;147;100201;Bas fonds ;(Sol Fertiles reseau hydrographique dense);Production agricole (Maes, patate douce, banane Plantin, Taro, legumes, etc.) Maraichage;Tres important;" Pollution des cours deeau et des sols,conflits agropastoraux, acces difficile e la terre ;Destruction des cultures par les eaux ;Destruction des galeries forestieres";"amenagement des bas-fonds ; sensibilisation des maraechers sur leutilisation des pesticides ; delimitation des zones de maraechage";"Acces par achat ou location pour les allogenes ; par heritage ou libre pour les riverains"; ;0;;0;0;0;;
146;148;100201;Cultures vivrieres (manioc, taro,macabo, arachide, igname);Jardins de case; Production agricole (Maes arachides, Patate douce, etc.).Arboriculture fruitiere,;agriculture, conservation de la biodiversite;"surexploitation du sol ; non application des techniques de gestion de la fertilite des sols";Promouvoir la fertilisation organique comme les fosses compostierespromouvoir leagroforesterie autour des cases;Contrele par les proprietaires; ;0;;0;0;0;;
147;149;100201;Cultures vivrieres (manioc, taro,macabo, arachide, igname);Interfluves et versants(Sols disponibles sur de vaste superficie);Culture de maes, manioc, arachide, patate douce, macabo, taro, igname, banane sauvage, haricot, pomme deterre;Tres important; Certains sols sont peu fertilesRepousse rapide des mauvaises herbes (Bokassa Grass)Conflits agropastorauxManque deeau en saison secheSurexploitation de champs creesFaible mecanisation pour leouverture de grands champsUsage des outils et techniques rudimentaires; Encourager leintegration agriculture et elevageFormer les paysans sur les techniques de fertilisation organique et de luttes antierosives;"Acces par achat ou location pour les allogenes ; par heritage ou libre pour les riverains"; ;0;;0;0;0;;
148;150;100201;Zone de peturage;Interfluves et versant et piemont;Peturage;Propice e leelevage bovin;des parcoursDegradation;Promotion de la culture fourragere;MINEPIA,; ;0;;0;0;0;;
149;151;100201;Zone de peturage;Bas fond : (presence de leherbe fraiche des boutures de maes et des mares deeau en saison seche) Presence de lahore;Peturage de saison seche;Important;Assechement des rivieres forte concentration de bete sur des espaces reduits erosion des berges due au pietinement;"Promouvoir la culture fourragere ;Amenagement des mares deabreuvement du betail";Pas de contrele; ;0;;0;0;0;;
150;152;100201;Ressources minieres;Carriere de Cailloux bleus (Ngori Haman, Assawe, Mayo Dankali etc)Carrieres deor (leggal goro etc.).;Prelevement de la ressource e des fins commerciales;tres important;Pollution et degradation de leenvironnement;Reboisement des sites abandonnes Encadrer et organiser les differents exploitantsConstruction deun hangar e Mayo BadiEtudier les potentialites deexploitation;Libre; ;0;;0;0;0;;
151;153;100201;Carrieres  de  sable;Carrieres de sable (mayo voure etc.);Prelevement de la ressource e des fins deutilisation personnelles ou commerciales;Tres important;Affouillement des berges des cours deeauFaible organisation;Encadrer et organiser les differents exploitants;Libre; ;0;;0;0;0;;
152;154;170203;Foret dense et marecages;;Toute la populationProprietaire  du  site,  autres personnes sous autorisationPopulation du quartierPas deutilisateursChefferieNotables;Ressource  en  PFNL, espece fauniques Bois  de  chauffage, construction, menuiserie)Presence  des  grands arbresPresence  de  plusieurs types  dearbres  et  peut favoriser  leactivite  de chasse;Deforestation  pour activites agricoleCoupe  abusive  de  bois pour  besoin  domestique et commercialisationFeux de brousseFaible  reboisement deautres  especes dearbres  que  les eucalyptusDiminution  des  especes animalesRarete  des  fruits sauvages;Sensibilisation e la conservation de la foret et ses atoutsSensibilisation  e  une  limitation de  coupe  des  arbres  au  simple besoin domestiquesUtilisation des foyers amelioresReboisement  des  espaces degradesSensibilisation e lutter contre les feux de brousse Creation  deautres  reserves forestieresInitiation  deun  plan  de conservation  de  la  foret  pour  la protection de la nature;; ;0;;0;0;0;;
153;155;170203;Cultures vivrieres (manioc, taro,macabo, arachide, igname);;Non exploiteFaible  (bois  pour  chauffage construction);Arbre  de  taille  moyenne, faible  densite,  fruits sauvage jujubes, passions;Stable Degradation progressive Reduction de la quantite;Exploiter de maniere durable;; ;0;;0;0;0;;
154;156;170203;Carriere deargile blanche;;MOYEN;Tres important ;Non exploite ;Exploiter de maniere durable;; ;0;;0;0;0;;
155;157;170203;Chutes d'eau;;Non amenageeMoyen;Moyenne Faible  debit  en  saison seche;Non exploiteeMoyen;;; ;0;;0;0;0;;
156;158;170203;Marecages ;;Construction des enclos ;Abondant  dans  les  zones marecageuses;En voie de disparition ;Favoriser la regeneration;; ;0;;0;0;0;;
157;159;170203;Terres cultivables;;Moyen (agriculture, habitat)AgricultureConstructionDisponibilite  pour  agriculture et habitationTerre encore fertile;DisponibleTerrain lateritiques Aridite des solsGrande  superficie  pour  les cultures et les habitations;Sollicitation  continuelle de nouvelles surfaces Concentration  des abitats  et  activites  en une zonepeu fertileFaible mise en valeur;Utiliser  de  maniere  durable  les terres cultivablesMettre  en  jachere  les  terres surexploiteesUtiliser les fertilisant adaptes;; ;0;;0;0;0;;
158;160;170203;Vegetattion;;Faible  (bois  de  chauffage, construction, menuiserie);Faible  quantite(predominance  des eucalyptus)Faible  densite  de regroupementArbre de taille moyenne, Fruits  sauvage  jujubes, passions;Reduction  progressive des  essences  locales  en faveur de leeucalyptus;Reboiser les espaces degrades Promouvoir  la  plantation  des arbres dans leespace communalContreler la coupe des arbres ;; ;0;;0;0;0;;
159;161;170203;Sources d'eau naturelles;;Presente e BandoumkassaUtilisation pour eau a boire;Pas entretenue Ne tarie pas;Le  debit  diminue  en saison secheMoyen;Amenager les sources;; ;0;;0;0;0;;
160;162;170203;Rivieres;;Utilisation  pour  leagriculture (arrosage  des  potagers, irrigation Menage,  lessive,  eau  de boissonUtilisations diversesPeche, pisciculturee;Tarissement  ou  diminution du debit en saison secheDebit  important  en  saison pluvieuseCours  deeau  saisonnier (petit Chiwou)Cours deeau regulier (grand Chiwou);Reduction du lit Diminution du debit  et lits en saison secheCours  deeau  aidant  les menages;eviter  de  jeter  les  dechets menagers dans les cours deeau;; ;0;;0;0;0;;
161;163;170203;Savane ;;Espaces fauniques, arbustesTres faible peturagePresence des Bororos;Hautes  herbes  parsemees dearbustes Strate  de  hautes  herbes (plus de 1,5 m)Strate herbacees de 1,5 m de hauteur moyenne;Feux de brousse regulierSous exploitationEnvahissement  par  les fougeres;Sensibilisation  e  une  limitation de  coupe  des  arbres  au  simple besoin domestiquesFavoriser  la  regeneration  des espaces degradesCreation des aires protegees Reboiser les espaces degrades;; ;0;;0;0;0;;
162;164;170203;Sable, pierre (granite), laterite;;Presence  des  zones  de sable  dans  plusieurs quartiers;Important MoyenQuantite  importante  de sable;Difficulte deacces StableFort;Exploiter de maniere durable;; ;0;;0;0;0;;
163;165;170203;Graviers et pierres;;Constructions diverses Presence  de  pierres  pour constructionMateriaux de construction;Gisement de pierres Petits  gisements  sur  des sites privesPresence  de  bloc  de pierres, rocher;Faible rendement Faible exploitation Zone de pierre eleveeStable;Exploiter de maniere durable;; ;0;;0;0;0;;
164;166;170203;Lateritique ;;Cantonnage  des  routes  par les particuliersLaterite  pour  amenagement des routesNon exploite;Tres abondantCollines de lateritePresence  de  laterite  e hauteur du sol.;Sous exploitee Faiblement exploiteStable ;Exploiter de maniere durable;; ;0;;0;0;0;;
165;167;170203;Zone de peturage;;Utilisation  pour  la construction,  artisanat (plafond, chaises) et la vigne (cueillette de vin de palme)Ressource  en  bois,  PFNL, espece fauniques;Diminution  de  la  taille  due e leexploitation (naturelle)Presence  e  proximite  des cours deeau Tres important AbondantPresence par endroitRegroupement dense;Faible mise en valeurDiminution  progressive du raphiaelevee;Sensibilisation e une exploitation de maniere durableFavoriser la regeneration dans les bas fondselaborer  un  plan  de conservation et de gestion ;; ;0;;0;0;0;;
175;178;170207;Chutes d'eau;;RAS;100% non exploite;;Ouverture deune voie deacces au siteExploitation de la chute;Chefferie Banka; ;0;;0;0;0;;
174;179;170207;Carrieres de pierres;;Operateurs economiques de learrondissement;Plus de 90% non exploite;;Ouverture de la piste desservant le gisement de pierresAmenagement du site de gisement de pierres;Famille royale; ;0;;0;0;0;;
173;180;170207;Sources d'eau naturelles;;Population de leespace urbain;Debit deeau eleve (15l/s);;Rehabilitation du bac de retention deeauRemplacer les tuyaux existants endommagesAssainir les alentours de la source pour faciliter son accessibilite.;Commune; ;0;;0;0;0;;
172;181;170207;Marecages ;;RAS;Non exploite;;Mettre en valeur;Commune ; ;0;;0;0;0;;
171;182;170207;Cours deeau poissonneux;;PopulationsCDE;Exploite e 50%;;Mise en valeur des cours deeau;RAS; ;0;;0;0;0;;
170;183;170207;Potentiel  touristique;;TouristesGuerresLimites frontieres;GrottesFalaisesChutestranchees;;Amenagement des voies deacces;chef de village; ;0;;0;0;0;;
169;184;170207;Terres cultivables;;Agriculture (cultures perennes, vivrieres, maraicheres) Elevagehabitat;Sols hydromorpheSols lateritiques Sols calcaire Bas fonds rocheux;;Creation des points de collecteAcquisition des intrants pour fertilisationElaboration deun plan deamenagement des bas fonds;MINATDcommunechef de villageproprietaire; ;0;;0;0;0;;
168;185;170207;Carrieres de pierres;;Construction et entretien routier;SablesPierreLaterite;;Ouverture des voies deaccesRecherche des financements;chef de village,population; ;0;;0;0;0;;
167;186;170207;Forets;;Rites coutumierConservation des essences et animaux par la tradition, Bois deeuvre, de construction et de chauffageRaphia pour vannerieFougeres pour haie vives chasse, peche;Grande biodiversite,foret encore intactePresence des essences e valeurEconomiques (iroko,sapellite,canarium plantes medicales                   ;;Motiver les autorites traditionnelles dans la conservation des forets sacreesCreation des forets communaux Appui  particuliers au reboisementSimplifier leacces des populations aux petits titres deexploitation;MINFOFAutorites traditionnelles; ;0;;0;0;0;;
166;187;170207;Savane ;;Elevage petit et gros betail,Elevage non conventionnelApicultureTourismeagriculture;Herbe et arbustes;;Identification des especes animales pour domesticationRenforcer les capacites techniques des eleveursSensibilisation des populations au respect des textes et reglements en vigueurs ouverture des pistes de collectes;MINEPMINEPIAMINTOURMINADER; ;0;;0;0;0;;
176;188;130109;Cours deeau poissonneux;Carriere de sable situee au Sud Est de Maroua 3e et riveraine des quartiers de Dougoi et Doursoungo;Population localeVendeur de sableEntrepreneurs locauxBlanchisseurs traditionnels;Important gisement de sable;Prelevement anarchique et abusif du sableStatut des exploitants non definiExploitation illegaleInsuffisance des agents de contreleDestruction des berges;"Sud Est de la ville ; exploitation de sable lessive, vaisselle, bainSensibiliser les exploitants sur une gestion rationnelle des sites de prelevementFaire le suivi des sites de prelevementProteger les berges des cours deeau";Services de la Mairie; ;0;;0;0;0;;
177;189;130109;Terres cultivables;Ensemble des villages de la commune;Agriculteurs locauxPopulations riveraines;Sols propices aux cultures cerealieres (sorgho SP et SS+maes) et culture deoignon;surexploitation des terresmonoculture recurrenteutilisation abusive des pesticidesconflits agropastoraux;Ensemble des villages de la communeGerer rationnellement les terresEncourager la pratique de la jachereUtiliser rationnellement les pesticidesCreer un cadre de concertation entre agriculteurs et eleveursFormer les agriculteurs sur les techniques de restauration des sols.;Chefferies traditionnelles- Proprietaires de terres; ;0;;0;0;0;;
178;190;130109;Graviers et pierres;Nord Est de la commune(Djoulgouf);Populations riveraines;Important gisement de graviers;Produits non utilisesAbsence deun mode de gestion;"Nord Est de la commune (Djoulgouf) ; Travaux de constructionMettre en place un systeme deexploitation de la ressource";Populations riveraines; ;0;;0;0;0;;
179;191;130109;Lateritique ;Nord-Est de la commune (Djoulgouf);Entreprises de travaux publicsPopulations riveraines pour fabrication des briques;Gisement de laterite plus ou moins important;Exploitation non contreleeExploitation illiciteManque e gagner pour la commune;"Nord Est de la commune (Djoulgouf) ; Travaux routiersSensibiliser les populations sur les procedures de gestion des sites miniersReglementer leexploitation du site";DDMIMIDTServices de la Mairie; ;0;;0;0;0;;
180;192;130109;Forets;Les villages Djoulgouf, yaere Ouro Malloum, Fadare;Populations riverainesvendeurs de bois et charbonsBrasseuses de boisson locale;Existence de plusieurs especes dearbres;Coupe anarchique du boisInsuffisance deagents de contreleComplaisance des agents forestiers;Renforcer les comites de vigilance du MINFOFAugmenter le nombre deagents forestiersReboiserles espaces denudes;Services du MNFOF; ;0;;0;0;0;;
181;193;170202;Graviers et pierres;Amas de pierres incorpores dans la terre sur les flancs de montagne;Non exploitees;Existence des pierres sur le flanc de montagne;Acces difficile e la zone pierreuseManque deinitiativeSite non amenage;R.A.S.Mener une etude deexploitation;Balaclouck-loum II, komako,baboutcha,Bakambe,Ngang,Balack loum I; ;0;;0;0;0;;
182;194;170202;Sable, pierre (granite), laterite;De couleur grise presence dans les fonds des cours deeau;Exploitation anarchique par les populations;Existence du sable dans les carrieres et cours deeau;Acces difficile aux cours deeau;Ouverture manuelle des pistesMener une etude deexploitationAmenager leacces aux cours deeauFormaliser leactivite;Bakambe, Baboutcha,komako,balackloum I, Balackloum II; ;0;;0;0;0;;
183;195;170202;Cours deeau poissonneux;Eau deapparence claire, avec la presence des plantes aquatiques qui expriment la forte teneur de leeau en azote et autres elements mineraux;Extraction de sableUsage domestiqueAgriculteurs;Possibilite de captage pour irrigation (pisciculture, agriculture);Faible exploitation des zones marecageusesDifficulte deexploitation des sources en eau potablePollution par les pesticides (utilisees par les pecheurs et les agriculteurs) -Voie deacces difficile -;La construction des forages pour la consommation et leutilisation domestiqueConstruction des infrastructures de franchissementelaborer un projet de gestion des marecages pour leagriculture et la piscicultureAmenager les sources deeau potableSensibiliser les pecheurs sur les dangers lies e pollution des cours deeau;Balaclouck-loum II, komako,baboutcha,Bakambe,Ngang,Balack loum; ;0;;0;0;0;;
184;196;170202;Vegetattion;Elle est constituee par les arbres fruitiers, savane arbustique, Manguiers, oranger, renier, citronnier, anacardier, les plantes medicinales, les dattiers;Agriculteurs, scieurs, populations riveraines, forestiers;Presence des especes ligneuses et non ligneuses;Exploitation anarchique des foretsAbsence de domestication des especesAbsence deexploitation de grande et moyenne importance;Presence de forets artificielles deeucalyptusSensibiliser les populations riveraines e la bonne gestion de leur patrimoine (domestication des especes, installation des barrieres de contrele des produits forestiers, formuler les demandes pour leobtention des forets communautaires)Sensibiliser les elites e creer les exploitations dans les villages;Tous les villages; ;0;;0;0;0;;
185;197;111006;Bas fonds ;;Extraction de sable/argile, Vin raphiaCulture de rizCreation des etangs piscicoles;Cultures de contre saison et maraecheresExtraction sableRecolte vin de raphia;Inondation en saison des pluies;"Investir pour mieux exploiter ;Creer des canaux de drainage durant les pratiques deexploitationMultiplier les etangs";famille; ;0;;0;0;0;;
186;198;111006;Forets;;"Exploitation des PFNL et plante medicinale ; exploitation des arbres et construction, creation des exploitations agricoles";Creation des plantations, chasse et exploitation des bois/PFNL;Deforestation,Presence des petits rongeurs, nematodes, reptiles;Examiner e la longue le processus de regenerationAppliquer la loi sur la protection des certains animauxFaire des recherches sur la regeneration des PFNL;Famille/population; ;0;;0;0;0;;
187;199;111006;Jacheres;;"Pratique des cultures vivrieres et arbres fruitiers ;construction des cabanesCreation des cacaoyeres ;Chasse et cueilletteExploitation des Plantes medicinales";Terres propices e leagriculture, -Presence des animauxPresence des plantes medicinalesPresence des PFNL;Presence des petits rongeurs, nematodes, reptiles,Faibles rendements;Amendement des solsVulgariser les techniques culturales et des plantes ameliorantes susceptibles de combattre leinfertilite des sols;Population; ;0;;0;0;0;;
188;200;111006;Cours deeau;;Petite pecheExtraction de sable, creation des etangs, bain et lessive;Existence des ressources halieutiques e (Poissons, crabes, huitres, e) et differents animaux aquatiquesPossibilite deintensifier la creation des etangs piscicoles;Inondation en saison de pluie et tarissement en saison seche;Entretien des cours deeau par les populations;Population; ;0;;0;0;0;;
189;201;111006;Rochers;;Exploitation pour commerce et construction;Construction dehabitat;Reduction des surfaces cultivables;Faire des carrieres officielles pour faire beneficier des retombees e toute la population;population.; ;0;;0;0;0;;
190;207;110504;Forets;Forets primairesForets secondaires jacheres;Exploitation forestieres, pharmacopee traditionnelle, bois de chauffe, bois deoeuvre, exploitation des PNFL, chasse ;Presence des produits forestiers non ligneux (okok, djansang, raphia etc.) et faunique (reptiles, lievres, Pangolins, etc),Essences forestieres (ayous, movingui, bubinga etc.) ;Deforestation non contrelee Disparition des especes faunique et forestieresPresence deEupatorium et une espece vegetale envahissante (AKWO);Reglementer la gestion;; ;0;;0;0;0;;
191;208;110504;Relief;Presence de montagnes et de collines rocheuses Presence de vallees et marecages;Aucune;EcotourismePratique de la pisciculture;Inaccessibilite due e la presence des marecages;Amenager les voies deacces et des etangs piscicoles;Faire des declarations aupres du ministere des mines; ;0;;0;0;0;;
192;209;110504;Savane ;Melange dearbustes et de hautes herbes;Agriculture (Champs de maes);"Favorable aux peturages pour les potentiels eleveurs ;Possibilites de mecanisation de leagriculture";Pratique des feux de brousse;Intensifier les activites agropastorales, sensibiliser les populations sur les risques dedegradation de leenvironnement;Sous le contrele du MINADER et MINEPIA; ;0;;0;0;0;;
193;210;110504;Marecages ;"Engorges deeau en toute saison et e proximite des cours deeau ; presence de raphias";Aucune ;Pratique de cultures de contresaison et de la pisciculture;Acces difficile Inonde en partie;Curer les buses pour mieux drainer les rivieres;Acces libre; ;0;;0;0;0;;
194;211;170702;;;;;;;; ;0;;0;0;0;;
215;237;170104;Bas-fond   -Raphia -Cours deeau ;Degradation des sols de bas-fond disparition du raphia (coupe frequente de Bambou et nattes pour construction et artisanat, vigne) baisse de la productivite agricole ;Population du village vignes  materiels de construction et deartisanat Agriculture par endroits ;Important (vaste etendue de terre) ;Inondation destruction abusive des raphias pour des fins diverses  Degradation des sols ;Amenager le bas-fond. Ameliorer  la fertilite des sols par leutilisation de la fumure organique et des plantes fertilisantes creer les champs de raphia ;villageois; ;0;;0;0;0;;
199;238;170104;Chutes de Maffo Nefouck ;Abandon;;Important site touristique ;Site touristique non amenage ;Amenager au niveau de la chute un site touristique en vue de la creation deune source de richesse ;; ;0;;0;0;0;;
214;239;170104;Chutes d'eau;Abandon ;;Assez important ;Site touristique non amenage ;Amenager au niveau de la chute un site touristique en vue de la creation deune source de richesse ;; ;0;;0;0;0;;
213;240;170104;Carrieres de pierres;;Jeunes du village ;Assez important ;Voie deacces difficile ;Amenager la voie deacces au site;Jeunes du village Commercialisation et construction ; ;0;;0;0;0;;
212;241;170104;Bambou de chine;destruction abusive des bambous de chine pour des fins diverses ;Maraechers pour les tuteurs des plantes ;Assez important ;disparition de bambou de chine (coupe frequente de Bambou  pour construction  barriere, tuteurs pour certaines cultures maraecheres artisanat, vigne) ;Creer les parcelle de bambou de chie ;proprietaire; ;0;;0;0;0;;
211;242;170104;Bas-fond   -Raphia ;Degradation des sols de bas-fond disparition du raphia (coupe frequente de Bambou et nattes pour construction et artisanat, vigne) baisse de la productivite agricole ;Maraechers;Assez important ;Inondation destruction abusive des raphias pour des fins diverses  Degradation des sols;Amenager le bas-fond Ameliorer  la fertilite des sols par leutilisation de la fumure organique et des plantes fertilisantes creer les champs de raphia car source de revenus chez la population ;proprietaire; ;0;;0;0;0;;
210;243;170104;Savane ;;Extraction des pierres ;Assez important ;Degradation des sols et effet de leerosion ;Ameliorer  la fertilite des sols par leutilisation de la fumure organique et des plantes fertilisantes ;Villageois ; ;0;;0;0;0;;
209;244;170104;Chutes d'eau;;;Pente douce et assez importante Site touristique ;Manque deamenagement du site ;Amenager le site pour des fins touristiques et en vue de la creation des sources de richesses pour la commune et le village ;; ;0;;0;0;0;;
208;245;170104;Carrieres  de  sable;;Construction et commercialisation ;Important avec possibilite deextension ;Acces difficile ;Amenager les voies deacces ;Contreleur : chef superieur ; ;0;;0;0;0;;
207;246;170104;Carriere de Pouzzolane;;Entretien et construction des des routes ;Terre de couleur brunrouge Importante ;Faible niveau deexploitation de au manque de materiels et equipement adapte et route deacces non  amenage ;;; ;0;;0;0;0;;
206;247;170104;Bas fonds ;Surexploitatios;Agriculture maraechere et vivriere ;Tres vaste etendue de terres fertiles Zone irrigable e tout moment Sol hydromorphe par endroit ;Inondation en saison de pluie ;Amenager le bas-fond et appliquer les techniques culturales appropriees;Proprietaires terriens et le chef du village ; ;0;;0;0;0;;
205;248;170104;Zone de polyculture;Surexploitation des sols ;Agriculture vivriere de tous ordres ;Sol brunrouge ferralitique Vastetendue de terre propice e leagriculture ;Presence des ravageurs et destructeurs des cultures absence de jacheres Mauvaises pratiques culturales Baisse de la fertilite des sols;Ameliorer  la fertilite des sols par leutilisation de la fumure organique et des plantes fertilisantes ainsi que leusage des bonnes pratiques culturales;Proprietaires terriens et le chef du village ; ;0;;0;0;0;;
204;249;170104;Forets;Disparition de certaines especes animales et vegetales ;Pratique des rites et coutumes prelevement des plantes medicinales conservation des traditions ;Mini foret secondaire Lieu sacre Reserve forestiere ;Exploitation des environs par les riverains ;Delimiter la zone de foret sacree et reboisement de la zone ;Notables et chef du village ; ;0;;0;0;0;;
203;250;170104;Cours deeau;;Petite peche Usage domestiqueConsommation ;Assez important et permanent presence de quelques especes halieutiques ;Absence de pont phenomene de pollutions de tous ordres ;Construire un pont en materiaux definitif Mener les campagnes deeducation sanitaire et environnementale pour resoudre le probleme de pollution ;; ;0;;0;0;0;;
202;251;170104;Raphia;disparition du raphia (coupe frequente de Bambou et nattes pour construction et artisanat, vigne ;Extraction du vin de raphia   Bambou et nattes pour construction et artisanat ;Ressources renouvellable ;destruction abusive des raphias pour des fins diverses ;creer les champs de raphia car source de revenus important chez la population ;Proprietaires de terrain ; ;0;;0;0;0;;
201;252;170104;Cours deeau;;Agriculture et besoins domestiques Peche artisanale ;Important  Traverse le village ;Leeau non potable cours deeau eloigne des habitations ;;; ;0;;0;0;0;;
200;253;170104;Bas fonds ;Surexploitation ;Agriculture maraechere et vivriere ;Tres vaste et seetend tout le long du cours deeau Mifi ;Inondation en saison de pluie ;Amenager le bas-fond et appliquer les techniques culturales appropriees ;Proprietaires terriens et le chef du village ; ;0;;0;0;0;;
198;254;170104;Massif rocheux;;Sechoirs pour manioc et autres denrees agricoles extraction des pierres pour construction des maisons;Tres volumineux ;Faible niveau deexploitation Manque de materiels et equipement pour exploitation rationnelle ;;; ;0;;0;0;0;;
197;255;170104;Sites naturels ;Tres peu frequente ;sacrifices et rites traditionnels ;Grotte large Site touristique potentiel ;Site touristique non amenage ;Amenager le site pour des fins touristiques  en vue de la creation des sources de richesses pour la commune et le village ;; ;0;;0;0;0;;
196;256;170104;Carrieres  de  sable;stable;;important;Enclavement de la carriere ;Ouverture de piste de desenclavement de la carriere ;; ;0;;0;0;0;;
216;257;170104;Carrieres de pierres;Stable Baisse de volume et de quantite ;POPULATION;important;Difficulte deacces ;Ouverture de piste de desenclavement de la carriere et construire des ponceaux ;population; ;0;;0;0;0;;
217;258;170104;Bas fonds ;Surexploitation  et baisse de la fertilite des sols ;Agriculture maraechere et vivriere ;Important ;difficulte deexploitation du bas-fond due e le Enclavement de la zone conflits agropastoraux irrigation ;Ouverture de piste de desenclavement du bas-fond amenagement du bas-fond Sensibilisation et education des producteurs agricoles et des eleveurs locaux au cours des rencontres de concertation ;Proprietaires terriens et le chef du village ; ;0;;0;0;0;;
218;259;170104;Raphia;disparition du raphia (coupe frequente de Bambou et nattes pour construction et artisanat, vigne;Extraction du vin de raphia   Bambou et nattes pour construction et artisanat ;Ressources renouvellable ;destruction abusive des raphias pour des fins diverses ;creer les champs de raphia car source de revenus important chez la population;Proprietaires de terrain ; ;0;;0;0;0;;
219;260;170104;Forets;Disparition de certaines especes vegetales et animale ;Conseil traditionnel pour des rites et coutumes ;Assez  important ;faible densite des arbres ;Augmentation de leaire de la foret sacree par le reboisement;Chef et notables ; ;0;;0;0;0;;
220;261;170104;Graviers et pierres;stable;Construction et commercialisation ;Important avec des roches basaltiques ;Faible niveau deexploitation Manque de voies deacces ;Assurer une exploitation rationnelle avec les engins appropries Amenager les voix deacces ;proprietaires ; ;0;;0;0;0;;
221;262;170104;Raphia;disparition du raphia (coupe frequente de Bambou et nattes pour construction et artisanat, vigne ;Extraction du vin de raphia  Bambou et nattes pour construction et artisanat ;Ressources renouvelables ;destruction abusive des raphias pour des fins diverses ;creer les champs de raphia car source de revenus important chez la population ;Proprietaires de terrain ; ;0;;0;0;0;;
